Structure,Cohen_d,n_patients,n_controls,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,-0.21,1837,2582,4419,lh,0.1679100593637136,1.013998909287148,0.005051783266889893,0.0839191468362422,0.0827605888602368,584,-0.21
L_caudalanteriorcingulate,-0.1,1837,2582,4419,lh,0.2181119375336781,1.0235100474810666,0.0065621692977596915,0.0847062942339019,0.0827605888602368,584,-0.1
L_caudalmiddlefrontal,-0.27,1837,2582,4419,lh,0.1753441914871878,1.0152564136651865,0.005275448390989847,0.0840232186390629,0.0827605888602368,584,-0.27
L_cuneus,-0.06,1837,2582,4419,lh,0.2145175843375185,1.0227501131703698,0.006454028705108723,0.0846434016228536,0.0827605888602368,584,-0.06
L_entorhinal,-0.04,1837,2582,4419,lh,0.347724072261647,1.058731330617085,0.010461711802156732,0.087621228366652,0.0827605888602368,584,-0.04
L_fusiform,-0.29,1837,2582,4419,lh,0.2199788565103603,1.0239095161739662,0.006618337880409127,0.0847393544981575,0.0827605888602368,584,-0.29
L_inferiorparietal,-0.27,1837,2582,4419,lh,0.1388691826870925,1.0095962806489438,0.004178052321842821,0.0835547826976114,0.0827605888602368,584,-0.27
L_inferiortemporal,-0.25,1837,2582,4419,lh,0.1931727905328623,1.01848697929932,0.005811843998687972,0.0842905821532955,0.0827605888602368,584,-0.25
L_isthmuscingulate,-0.13,1837,2582,4419,lh,0.2212486498239776,1.024183072037872,0.006656541193768962,0.0847619941425406,0.0827605888602368,584,-0.13
L_lateraloccipital,-0.16,1837,2582,4419,lh,0.1493056868036902,1.0110846592209386,0.004492047546791503,0.0836779617846767,0.0827605888602368,584,-0.16
L_lateralorbitofrontal,-0.22,1837,2582,4419,lh,0.2368625051545744,1.0276691327212766,0.00712630347834948,0.0850505025775016,0.0827605888602368,584,-0.22
L_lingual,-0.21,1837,2582,4419,lh,0.2498141822812938,1.0307313547519894,0.007515970815939983,0.0853039338759842,0.0827605888602368,584,-0.21
L_medialorbitofrontal,-0.2,1837,2582,4419,lh,0.2972194770645651,1.043235073004418,0.008942218152493936,0.0863387489614977,0.0827605888602368,584,-0.2
L_middletemporal,-0.25,1837,2582,4419,lh,0.1664019105650013,1.0137502630528303,0.005006408731890703,0.0838985687274721,0.0827605888602368,584,-0.25
