Structure,Cohen_d,n_patients,n_controls,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,-0.06,1498,1436,2934,lh,0.1679100593637136,1.013998909287148,0.006199785386210775,0.0839191468362422,0.0827605888602368,584,-0.06
L_caudalanteriorcingulate,0.0,1498,1436,2934,lh,0.2181119375336781,1.0235100474810666,0.008053401970100453,0.0847062942339019,0.0827605888602368,584,
L_caudalmiddlefrontal,-0.09,1498,1436,2934,lh,0.1753441914871878,1.0152564136651865,0.00647427771783719,0.0840232186390629,0.0827605888602368,584,-0.09
L_cuneus,-0.04,1498,1436,2934,lh,0.2145175843375185,1.0227501131703698,0.007920686762310787,0.0846434016228536,0.0827605888602368,584,-0.04
L_entorhinal,-0.06,1498,1436,2934,lh,0.347724072261647,1.058731330617085,0.012839103445087242,0.087621228366652,0.0827605888602368,584,-0.06
L_fusiform,-0.11,1498,1436,2934,lh,0.2199788565103603,1.0239095161739662,0.008122334689395145,0.0847393544981575,0.0827605888602368,584,-0.11
L_inferiorparietal,-0.14,1498,1436,2934,lh,0.1388691826870925,1.0095962806489438,0.005127501786855595,0.0835547826976114,0.0827605888602368,584,-0.14
L_inferiortemporal,-0.09,1498,1436,2934,lh,0.1931727905328623,1.01848697929932,0.007132567568003672,0.0842905821532955,0.0827605888602368,584,-0.09
L_isthmuscingulate,-0.07,1498,1436,2934,lh,0.2212486498239776,1.024183072037872,0.008169219587531116,0.0847619941425406,0.0827605888602368,584,-0.07
L_lateraloccipital,-0.07,1498,1436,2934,lh,0.1493056868036902,1.0110846592209386,0.005512851455305501,0.0836779617846767,0.0827605888602368,584,-0.07
L_lateralorbitofrontal,-0.1,1498,1436,2934,lh,0.2368625051545744,1.0276691327212766,0.00874573389803682,0.0850505025775016,0.0827605888602368,584,-0.1
L_lingual,-0.05,1498,1436,2934,lh,0.2498141822812938,1.0307313547519894,0.009223951932628904,0.0853039338759842,0.0827605888602368,584,-0.05
L_medialorbitofrontal,-0.08,1498,1436,2934,lh,0.2972194770645651,1.043235073004418,0.010974309564208978,0.0863387489614977,0.0827605888602368,584,-0.08
L_middletemporal,-0.09,1498,1436,2934,lh,0.1664019105650013,1.0137502630528303,0.006144099628502632,0.0838985687274721,0.0827605888602368,584,-0.09
L_parahippocampal,-0.06,1498,1436,2934,lh,0.1419923979078971,1.0100306139239714,0.005242821048591977,0.0835907283752143,0.0827605888602368,584,-0.06
L_paracentral,-0.01,1498,1436,2934,lh,0.2087907284844583,1.0215642751687584,0.007709232622152159,0.0845452609715474,0.0827605888602368,584,-0.01
L_parsopercularis,-0.08,1498,1436,2934,lh,0.1700048874171607,1.014347899759112,0.006277133249713421,0.0839480294932085,0.0827605888602368,584,-0.08
L_parsorbitalis,-0.05,1498,1436,2934,lh,0.2585720930571187,1.0328889230250944,0.009547322476641893,0.0854824954967726,0.0827605888602368,584,-0.05
L_parstriangularis,-0.03,1498,1436,2934,lh,0.1947534591914286,1.0187879611906627,0.007190930994751044,0.0843154915918593,0.0827605888602368,584,-0.03
L_pericalcarine,0.01,1498,1436,2934,lh,0.2573619043092968,1.0325866306464109,0.009502638372891736,0.0854574776015048,0.0827605888602368,584,0.01
L_postcentral,-0.02,1498,1436,2934,lh,0.1993295859291462,1.0196726356172774,0.007359896474136021,0.0843887077683555,0.0827605888602368,584,-0.02
L_posteriorcingulate,-0.07,1498,1436,2934,lh,0.2107243510940018,1.0219612282978197,0.007780628256472835,0.0845781130462584,0.0827605888602368,584,-0.07
L_precentral,-0.02,1498,1436,2934,lh,0.1934859788469978,1.0185464270274482,0.007144131498958537,0.0842955020822818,0.0827605888602368,584,-0.02
L_precuneus,-0.1,1498,1436,2934,lh,0.1266028694300775,1.0079822848383444,0.004674589614936254,0.0834212074539083,0.0827605888602368,584,-0.1
L_rostralanteriorcingulate,-0.07,1498,1436,2934,lh,0.283732439618703,1.0394729901695288,0.01047632428579865,0.0860273967707413,0.0827605888602368,584,-0.07
L_rostralmiddlefrontal,-0.1,1498,1436,2934,lh,0.1904458556017539,1.017973292339187,0.007031880263150708,0.0842480691179851,0.0827605888602368,584,-0.1
L_superiorfrontal,-0.07,1498,1436,2934,lh,0.132671725682411,1.0087625026712428,0.004898671521921525,0.0834857787411982,0.0827605888602368,584,-0.07
L_superiorparietal,-0.06,1498,1436,2934,lh,0.1101292843519363,1.0060459528629244,0.004066331286561014,0.0832609554793936,0.0827605888602368,584,-0.06
L_superiortemporal,-0.01,1498,1436,2934,lh,0.1260174974969587,1.0079089292567045,0.004652975779706843,0.0834151365027756,0.0827605888602368,584,-0.01
L_supramarginal,-0.05,1498,1436,2934,lh,0.1406715982860254,1.009845779594263,0.005194052831697626,0.0835754313772461,0.0827605888602368,584,-0.05
L_frontalpole,-0.05,1498,1436,2934,lh,0.3407844666065796,1.0564724571328543,0.012582870638730136,0.0874342826669363,0.0827605888602368,584,-0.05
L_temporalpole,0.03,1498,1436,2934,lh,0.3656352824157033,1.0647484020871838,0.013500443566002393,0.0881192047447315,0.0827605888602368,584,0.03
L_transversetemporal,0.0,1498,1436,2934,lh,0.1956680130206627,1.018963184476973,0.007224699295988473,0.0843299931742164,0.0827605888602368,584,
L_insula,-0.07,1498,1436,2934,lh,0.2981904866965747,1.0435121304308543,0.011010162397262673,0.0863616783972577,0.0827605888602368,584,-0.07
