CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
22qvsCN,L_bankssts,-0.03,0.08,-0.18,0.12,315,386,0.67,0.711,701,lh,0.1679100593637136,1.013998909287148,0.012683750831389996,0.0839191468362422,0.0827605888602368,584,-0.03
22qvsCN,L_caudalanteriorcingulate,-0.21,0.08,-0.36,-0.06,315,386,0.0056799999999999,0.0073599999999999,701,lh,0.2181119375336781,1.0235100474810666,0.01647594837088555,0.0847062942339019,0.0827605888602368,584,-0.21
22qvsCN,L_caudalmiddlefrontal,0.51,0.08,0.36,0.66,315,386,6.79e-11,2.07e-10,701,lh,0.1753441914871878,1.0152564136651865,0.013245317421617504,0.0840232186390629,0.0827605888602368,584,0.51
22qvsCN,L_cuneus,0.52,0.08,0.37,0.67,315,386,2.55e-11,8.12e-11,701,lh,0.2145175843375185,1.0227501131703698,0.016204434677704455,0.0846434016228536,0.0827605888602368,584,0.52
22qvsCN,L_entorhinal,0.16,0.08,0.01,0.31,315,386,0.041,0.0495,701,lh,0.347724072261647,1.058731330617085,0.026266713902407833,0.087621228366652,0.0827605888602368,584,0.16
22qvsCN,L_fusiform,0.19,0.08,0.04,0.34,315,386,0.0117,0.0149,701,lh,0.2199788565103603,1.0239095161739662,0.016616973484046504,0.0847393544981575,0.0827605888602368,584,0.19
22qvsCN,L_inferiorparietal,0.25,0.08,0.1,0.4,315,386,0.00101,0.00144,701,lh,0.1388691826870925,1.0095962806489438,0.010490033283512164,0.0835547826976114,0.0827605888602368,584,0.25
22qvsCN,L_inferiortemporal,0.28,0.08,0.13,0.43,315,386,0.000318,0.000474,701,lh,0.1931727905328623,1.01848697929932,0.014592071206500995,0.0842905821532955,0.0827605888602368,584,0.28
22qvsCN,L_isthmuscingulate,0.3,0.08,0.15,0.45,315,386,0.000123,0.000195,701,lh,0.2212486498239776,1.024183072037872,0.016712892347146898,0.0847619941425406,0.0827605888602368,584,0.3
22qvsCN,L_lateraloccipital,0.22,0.08,0.07,0.37,315,386,0.0044,0.00616,701,lh,0.1493056868036902,1.0110846592209386,0.011278395924007471,0.0836779617846767,0.0827605888602368,584,0.22
22qvsCN,L_lateralorbitofrontal,0.47,0.08,0.32,0.62,315,386,1.71e-09,4.27e-09,701,lh,0.2368625051545744,1.0276691327212766,0.01789234670075222,0.0850505025775016,0.0827605888602368,584,0.47
22qvsCN,L_lingual,0.41,0.08,0.26,0.56,315,386,1.12e-07,2.1800000000000002e-07,701,lh,0.2498141822812938,1.0307313547519894,0.018870702888263778,0.0853039338759842,0.0827605888602368,584,0.41
22qvsCN,L_medialorbitofrontal,0.56,0.08,0.41,0.71,315,386,7.789999999999999e-13,3.03e-12,701,lh,0.2972194770645651,1.043235073004418,0.022451649434278426,0.0863387489614977,0.0827605888602368,584,0.56
