SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,d_icv_thresholded
ADHDadult_casevsCN,L_bankssts,0.01,-0.06,,,514,709,0.88,0.97,1223,L_bankssts,lh,0.1786116799446558,0.010214723667326666,0.0840662703418397,566,
ADHDadult_casevsCN,L_caudalanteriorcingulate,-0.05,-0.06,,,538,730,0.37,0.97,1268,L_caudalanteriorcingulate,lh,0.1683153490493292,0.009438656085314667,0.0840662703418397,566,-0.05
ADHDadult_casevsCN,L_caudalmiddlefrontal,-0.04,-0.06,,,539,733,0.47,0.97,1272,L_caudalmiddlefrontal,lh,0.1391865515943926,0.008212346336928465,0.0840662703418397,566,-0.04
ADHDadult_casevsCN,L_cuneus,0.0,-0.06,,,539,732,0.97,0.97,1271,L_cuneus,lh,0.1320470351444211,0.0074165003800848025,0.0840662703418397,566,
ADHDadult_casevsCN,L_entorhinal,-0.01,-0.06,,,479,670,0.93,0.97,1149,L_entorhinal,lh,0.3530218209694457,0.019796480698653206,0.0840662703418397,566,
ADHDadult_casevsCN,L_fusiform,-0.05,-0.06,,,493,687,0.41,0.97,1180,L_fusiform,lh,0.1480590464773536,0.008309274060559698,0.0840662703418397,566,-0.05
ADHDadult_casevsCN,L_inferiorparietal,0.0,-0.06,,,538,730,0.96,0.97,1268,L_inferiorparietal,lh,0.0921604482852544,0.005365788749936577,0.0840662703418397,566,
ADHDadult_casevsCN,L_inferiortemporal,-0.03,-0.06,,,493,683,0.57,0.97,1176,L_inferiortemporal,lh,0.1600867279656501,0.008984283823064569,0.0840662703418397,566,-0.03
ADHDadult_casevsCN,L_isthmuscingulate,0.05,-0.06,,,539,733,0.43,0.97,1272,L_isthmuscingulate,lh,0.1325562515823995,0.007483561764342002,0.0840662703418397,566,0.05
ADHDadult_casevsCN,L_lateraloccipital,-0.02,-0.06,,,539,730,0.73,0.97,1269,L_lateraloccipital,lh,0.0874525302944431,0.004915701719613393,0.0840662703418397,566,-0.02
ADHDadult_casevsCN,L_lateralorbitofrontal,-0.03,-0.06,,,539,733,0.56,0.97,1272,L_lateralorbitofrontal,lh,0.1678207846915011,0.009436924496407555,0.0840662703418397,566,-0.03
ADHDadult_casevsCN,L_lingual,0.0,-0.06,,,494,688,1.0,0.97,1182,L_lingual,lh,0.1180788657866528,0.006639829167158668,0.0840662703418397,566,
ADHDadult_casevsCN,L_medialorbitofrontal,-0.05,-0.06,,,539,731,0.4,0.97,1270,L_medialorbitofrontal,lh,0.2772285734046759,0.016443253546709613,0.0840662703418397,566,-0.05
ADHDadult_casevsCN,L_middletemporal,0.01,-0.06,,,477,670,0.86,0.97,1147,L_middletemporal,lh,0.1432600859199927,0.008033626697676566,0.0840662703418397,566,0.01
ADHDadult_casevsCN,L_parahippocampal,-0.16,-0.06,,,492,688,0.01,0.4,1180,L_parahippocampal,lh,0.253750614238687,0.014511886376443824,0.0840662703418397,566,-0.16
ADHDadult_casevsCN,L_paracentral,0.04,-0.06,,,538,732,0.51,0.97,1270,L_paracentral,lh,0.1580756850541815,0.009195732513769704,0.0840662703418397,566,0.04
ADHDadult_casevsCN,L_parsopercularis,-0.04,-0.06,,,539,731,0.52,0.97,1270,L_parsopercularis,lh,0.141107643524262,0.007912923721795272,0.0840662703418397,566,-0.04
ADHDadult_casevsCN,L_parsorbitalis,-0.06,-0.06,,,539,732,0.28,0.97,1271,L_parsorbitalis,lh,0.2067718729739145,0.012200045292777947,0.0840662703418397,566,-0.06
ADHDadult_casevsCN,L_parstriangularis,-0.08,-0.06,,,538,732,0.14,0.97,1270,L_parstriangularis,lh,0.1342439775300349,0.007539892957737975,0.0840662703418397,566,-0.08
ADHDadult_casevsCN,L_pericalcarine,-0.08,-0.06,,,539,732,0.16,0.97,1271,L_pericalcarine,lh,0.1515153742526108,0.008496560279769883,0.0840662703418397,566,-0.08
ADHDadult_casevsCN,L_postcentral,-0.06,-0.06,,,528,727,0.32,0.97,1255,L_postcentral,lh,0.1565426209458112,0.008778474275499692,0.0840662703418397,566,-0.06
ADHDadult_casevsCN,L_posteriorcingulate,-0.09,-0.06,,,539,733,0.13,0.97,1272,L_posteriorcingulate,lh,0.1439203019218107,0.008077002115029402,0.0840662703418397,566,-0.09
ADHDadult_casevsCN,L_precentral,-0.01,-0.06,,,537,729,0.86,0.97,1266,L_precentral,lh,0.1234912044252991,0.007189935897126141,0.0840662703418397,566,-0.01
ADHDadult_casevsCN,L_precuneus,-0.03,-0.06,,,539,732,0.66,0.97,1271,L_precuneus,lh,0.115806001618221,0.006499189534160625,0.0840662703418397,566,-0.03
ADHDadult_casevsCN,L_rostralanteriorcingulate,0.02,-0.06,,,535,730,0.74,0.97,1265,L_rostralanteriorcingulate,lh,0.1985332985113387,0.011141957392856417,0.0840662703418397,566,0.02
ADHDadult_casevsCN,L_rostralmiddlefrontal,-0.04,-0.06,,,538,733,0.49,0.97,1271,L_rostralmiddlefrontal,lh,0.1574330702065638,0.008888001060504068,0.0840662703418397,566,-0.04
ADHDadult_casevsCN,L_superiorfrontal,0.0,-0.06,,,535,730,0.99,0.97,1265,L_superiorfrontal,lh,0.1296969686255579,0.007290259178948086,0.0840662703418397,566,
ADHDadult_casevsCN,L_superiorparietal,-0.04,-0.06,,,539,730,0.46,0.97,1269,L_superiorparietal,lh,0.1358861602066383,0.007641171719784766,0.0840662703418397,566,-0.04
ADHDadult_casevsCN,L_superiortemporal,-0.03,-0.06,,,476,661,0.64,0.97,1137,L_superiortemporal,lh,0.1176477597997551,0.0066155871481752525,0.0840662703418397,566,-0.03
ADHDadult_casevsCN,L_supramarginal,0.01,-0.06,,,535,728,0.83,0.97,1263,L_supramarginal,lh,0.1082569006559294,0.006421039663425896,0.0840662703418397,566,0.01
ADHDadult_casevsCN,L_frontalpole,0.02,-0.06,,,539,733,0.71,0.97,1272,L_frontalpole,lh,0.3878276705376012,0.02174829582238703,0.0840662703418397,566,
ADHDadult_casevsCN,L_temporalpole,-0.08,-0.06,,,494,688,0.17,0.97,1182,L_temporalpole,lh,0.3829949443932145,0.021477289997374565,0.0840662703418397,566,-0.08
ADHDadult_casevsCN,L_transversetemporal,-0.07,-0.06,,,494,688,0.26,0.97,1182,L_transversetemporal,lh,0.1809503801815842,0.010526421529310125,0.0840662703418397,566,-0.07
ADHDadult_casevsCN,L_insula,-0.13,-0.06,,,532,725,0.02,0.51,1257,L_insula,lh,0.299847994886643,0.016827875265315248,0.0840662703418397,566,-0.13
ADHDadult_casevsCN,R_bankssts,0.01,-0.06,,,514,709,0.88,0.97,1223,R_bankssts,rh,0.1825977843962243,0.010255713321363854,0.0840662703418397,566,
ADHDadult_casevsCN,R_caudalanteriorcingulate,-0.05,-0.06,,,538,730,0.37,0.97,1268,R_caudalanteriorcingulate,rh,0.1383714680931598,0.00776253853500866,0.0840662703418397,566,-0.05
ADHDadult_casevsCN,R_caudalmiddlefrontal,-0.04,-0.06,,,539,733,0.47,0.97,1272,R_caudalmiddlefrontal,rh,0.1657564399893244,0.009650713049608288,0.0840662703418397,566,-0.04
ADHDadult_casevsCN,R_cuneus,0.0,-0.06,,,539,732,0.97,0.97,1271,R_cuneus,rh,0.1359122118474259,0.007926561162839145,0.0840662703418397,566,
ADHDadult_casevsCN,R_entorhinal,-0.01,-0.06,,,479,670,0.93,0.97,1149,R_entorhinal,rh,0.3394861382835046,0.019059926902060487,0.0840662703418397,566,
ADHDadult_casevsCN,R_fusiform,-0.05,-0.06,,,493,687,0.41,0.97,1180,R_fusiform,rh,0.1441676106290709,0.008513653827693745,0.0840662703418397,566,-0.05
ADHDadult_casevsCN,R_inferiorparietal,0.0,-0.06,,,538,730,0.96,0.97,1268,R_inferiorparietal,rh,0.0931743589228291,0.005229071118090461,0.0840662703418397,566,
ADHDadult_casevsCN,R_inferiortemporal,-0.03,-0.06,,,493,683,0.57,0.97,1176,R_inferiortemporal,rh,0.1463527859563971,0.008210284651511671,0.0840662703418397,566,-0.03
