CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
ADHDadult_casevsCN,L_bankssts,0.01,-0.06,,,514,709,0.81,0.95,1223,lh,0.1679100593637136,1.013998909287148,0.009602702678213455,0.0839191468362422,0.0827605888602368,584,0.01
ADHDadult_casevsCN,L_caudalanteriorcingulate,-0.11,-0.06,,,538,730,0.06,0.43,1268,lh,0.2181119375336781,1.0235100474810666,0.012231110104395008,0.0847062942339019,0.0827605888602368,584,-0.11
ADHDadult_casevsCN,L_caudalmiddlefrontal,-0.02,-0.06,,,539,733,0.74,0.95,1272,lh,0.1753441914871878,1.0152564136651865,0.010345735361400408,0.0840232186390629,0.0827605888602368,584,-0.02
ADHDadult_casevsCN,L_cuneus,0.11,-0.06,,,539,732,0.06,0.43,1271,lh,0.2145175843375185,1.0227501131703698,0.012048507897462604,0.0846434016228536,0.0827605888602368,584,0.11
ADHDadult_casevsCN,L_entorhinal,-0.06,-0.06,,,479,670,0.33,0.88,1149,lh,0.347724072261647,1.058731330617085,0.019499397703182146,0.087621228366652,0.0827605888602368,584,-0.06
ADHDadult_casevsCN,L_fusiform,-0.01,-0.06,,,493,687,0.89,0.95,1180,lh,0.2199788565103603,1.0239095161739662,0.012345511130606276,0.0847393544981575,0.0827605888602368,584,
ADHDadult_casevsCN,L_inferiorparietal,0.08,-0.06,,,538,730,0.17,0.55,1268,lh,0.1388691826870925,1.0095962806489438,0.008085276406956351,0.0835547826976114,0.0827605888602368,584,0.08
ADHDadult_casevsCN,L_inferiortemporal,0.0,-0.06,,,493,683,0.97,0.97,1176,lh,0.1931727905328623,1.01848697929932,0.010841118430586117,0.0842905821532955,0.0827605888602368,584,
ADHDadult_casevsCN,L_isthmuscingulate,0.04,-0.06,,,539,733,0.52,0.95,1272,lh,0.2212486498239776,1.024183072037872,0.012490757067053751,0.0847619941425406,0.0827605888602368,584,0.04
ADHDadult_casevsCN,L_lateraloccipital,0.14,-0.06,,,539,730,0.02,0.43,1269,lh,0.1493056868036902,1.0110846592209386,0.00839246410478754,0.0836779617846767,0.0827605888602368,584,0.14
ADHDadult_casevsCN,L_lateralorbitofrontal,0.03,-0.06,,,539,733,0.66,0.95,1272,lh,0.2368625051545744,1.0276691327212766,0.013319289272080632,0.0850505025775016,0.0827605888602368,584,0.03
ADHDadult_casevsCN,L_lingual,0.11,-0.06,,,494,688,0.07,0.43,1182,lh,0.2498141822812938,1.0307313547519894,0.014047589996996079,0.0853039338759842,0.0827605888602368,584,0.11
ADHDadult_casevsCN,L_medialorbitofrontal,-0.08,-0.06,,,539,731,0.17,0.55,1270,lh,0.2972194770645651,1.043235073004418,0.017628973667368212,0.0863387489614977,0.0827605888602368,584,-0.08
ADHDadult_casevsCN,L_middletemporal,0.02,-0.06,,,477,670,0.8,0.95,1147,lh,0.1664019105650013,1.0137502630528303,0.009331355783256749,0.0838985687274721,0.0827605888602368,584,0.02
ADHDadult_casevsCN,L_parahippocampal,0.1,-0.06,,,492,688,0.09,0.43,1180,lh,0.1419923979078971,1.0100306139239714,0.00812048298263408,0.0835907283752143,0.0827605888602368,584,0.1
ADHDadult_casevsCN,L_paracentral,-0.01,-0.06,,,538,732,0.8,0.95,1270,lh,0.2087907284844583,1.0215642751687584,0.012145977351545927,0.0845452609715474,0.0827605888602368,584,
ADHDadult_casevsCN,L_parsopercularis,-0.01,-0.06,,,539,731,0.89,0.95,1270,lh,0.1700048874171607,1.014347899759112,0.009533400692309669,0.0839480294932085,0.0827605888602368,584,-0.01
ADHDadult_casevsCN,L_parsorbitalis,-0.01,-0.06,,,539,732,0.92,0.95,1271,lh,0.2585720930571187,1.0328889230250944,0.01525638473634764,0.0854824954967726,0.0827605888602368,584,
ADHDadult_casevsCN,L_parstriangularis,-0.03,-0.06,,,538,732,0.6,0.95,1270,lh,0.1947534591914286,1.0187879611906627,0.010938444036523186,0.0843154915918593,0.0827605888602368,584,-0.03
ADHDadult_casevsCN,L_pericalcarine,0.04,-0.06,,,539,732,0.45,0.95,1271,lh,0.2573619043092968,1.0325866306464109,0.014432138946075495,0.0854574776015048,0.0827605888602368,584,0.04
ADHDadult_casevsCN,L_postcentral,0.05,-0.06,,,528,727,0.41,0.95,1255,lh,0.1993295859291462,1.0196726356172774,0.011177848127576257,0.0843887077683555,0.0827605888602368,584,0.05
ADHDadult_casevsCN,L_posteriorcingulate,-0.11,-0.06,,,539,733,0.05,0.43,1272,lh,0.2107243510940018,1.0219612282978197,0.011826135762271596,0.0845781130462584,0.0827605888602368,584,-0.11
ADHDadult_casevsCN,L_precentral,-0.06,-0.06,,,537,729,0.29,0.84,1266,lh,0.1934859788469978,1.0185464270274482,0.011265189220371874,0.0842955020822818,0.0827605888602368,584,-0.06
ADHDadult_casevsCN,L_precuneus,0.04,-0.06,,,539,732,0.46,0.95,1271,lh,0.1266028694300775,1.0079822848383444,0.007105124367450758,0.0834212074539083,0.0827605888602368,584,0.04
ADHDadult_casevsCN,L_rostralanteriorcingulate,-0.09,-0.06,,,535,730,0.14,0.54,1265,lh,0.283732439618703,1.0394729901695288,0.01592344849406833,0.0860273967707413,0.0827605888602368,584,-0.09
ADHDadult_casevsCN,L_rostralmiddlefrontal,0.03,-0.06,,,538,733,0.63,0.95,1271,lh,0.1904458556017539,1.017973292339187,0.010751762411392144,0.0842480691179851,0.0827605888602368,584,0.03
ADHDadult_casevsCN,L_superiorfrontal,-0.04,-0.06,,,535,730,0.54,0.95,1265,lh,0.132671725682411,1.0087625026712428,0.007457470102755216,0.0834857787411982,0.0827605888602368,584,-0.04
ADHDadult_casevsCN,L_superiorparietal,0.1,-0.06,,,539,730,0.08,0.43,1269,lh,0.1101292843519363,1.0060459528629244,0.006192807066080015,0.0832609554793936,0.0827605888602368,584,0.1
ADHDadult_casevsCN,L_superiortemporal,0.04,-0.06,,,476,661,0.54,0.95,1137,lh,0.1260174974969587,1.0079089292567045,0.007086235541629264,0.0834151365027756,0.0827605888602368,584,0.04
ADHDadult_casevsCN,L_supramarginal,0.02,-0.06,,,535,728,0.67,0.95,1263,lh,0.1406715982860254,1.009845779594263,0.00834365205949216,0.0835754313772461,0.0827605888602368,584,0.02
ADHDadult_casevsCN,L_frontalpole,0.08,-0.06,,,539,733,0.14,0.54,1272,lh,0.3407844666065796,1.0564724571328543,0.019110243942008,0.0874342826669363,0.0827605888602368,584,0.08
ADHDadult_casevsCN,L_temporalpole,-0.02,-0.06,,,494,688,0.75,0.95,1182,lh,0.3656352824157033,1.0647484020871838,0.020503808493230694,0.0881192047447315,0.0827605888602368,584,
ADHDadult_casevsCN,L_transversetemporal,-0.02,-0.06,,,494,688,0.79,0.95,1182,lh,0.1956680130206627,1.018963184476973,0.011382589982906581,0.0843299931742164,0.0827605888602368,584,-0.02
