SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,NAVR,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
BD_CasesvsCN_typeII,Laccumb,-0.029,0.065,-0.157,0.099,2221,361,0.658,,2582,0.2720665413607328,0.010708459842782212,0.0871220338602319,0.0840662703418397,566,-0.029
BD_CasesvsCN_typeII,Lamyg,-0.012,0.066,-0.14,0.117,2226,361,0.856,,2587,0.2272955394058503,0.008937636636234165,0.0862104935785992,0.0840662703418397,566,-0.012
BD_CasesvsCN_typeII,Lcaud,-0.014,0.073,-0.158,0.13,2223,360,0.848,,2583,0.1032435479466564,0.004062849295050359,0.0845131235838454,0.0840662703418397,566,-0.014
BD_CasesvsCN_typeII,Lhippo,-0.134,0.065,-0.261,-0.008,2218,359,0.037,,2577,0.156646722485764,0.006171547827346571,0.0850914368167819,0.0840662703418397,566,-0.134
BD_CasesvsCN_typeII,Lpal,0.058,0.065,-0.069,0.185,2224,361,0.369,,2585,0.2091429805492201,0.008230213199648648,0.0858851557252098,0.0840662703418397,566,0.058
BD_CasesvsCN_typeII,Lput,0.047,0.065,-0.08,0.174,2222,361,0.469,,2583,0.1359332660967781,0.005349257995478191,0.084839397343257,0.0840662703418397,566,0.047
BD_CasesvsCN_typeII,Lthal,-0.132,0.065,-0.259,-0.005,2223,360,0.041,,2583,0.1594777173659569,0.006272140038242827,0.0851285929109501,0.0840662703418397,566,-0.132
BD_CasesvsCN_typeII,LLatVent,0.096,0.065,-0.031,0.222,2225,361,0.139,,2586,0.011147108504968,0.0004384922787955289,0.0840714931340892,0.0840662703418397,566,0.096
BD_CasesvsCN_typeII,Raccumb,-0.029,0.065,-0.157,0.099,2221,361,0.658,,2582,0.2297485905574407,0.009042837622058488,0.0862564347930189,0.0840662703418397,566,-0.029
BD_CasesvsCN_typeII,Ramyg,-0.012,0.066,-0.14,0.117,2226,361,0.856,,2587,0.2007475491744533,0.00789372574061888,0.0857434573836147,0.0840662703418397,566,-0.012
BD_CasesvsCN_typeII,Rcaud,-0.014,0.073,-0.158,0.13,2223,360,0.848,,2583,0.1461734363689446,0.005752230088155239,0.0849596317984902,0.0840662703418397,566,-0.014
BD_CasesvsCN_typeII,Rhippo,-0.134,0.065,-0.261,-0.008,2218,359,0.037,,2577,0.1266388607779865,0.004989301874241609,0.0847376913337475,0.0840662703418397,566,-0.134
BD_CasesvsCN_typeII,Rpal,0.058,0.065,-0.069,0.185,2224,361,0.369,,2585,0.2326402534573403,0.009154879976110914,0.0863111917423851,0.0840662703418397,566,0.058
BD_CasesvsCN_typeII,Rput,0.047,0.065,-0.08,0.174,2222,361,0.469,,2583,0.1718404256047445,0.006762279734808359,0.0852984422689682,0.0840662703418397,566,0.047
BD_CasesvsCN_typeII,Rthal,-0.132,0.065,-0.259,-0.005,2223,360,0.041,,2583,0.1615252968034185,0.006352669814962137,0.0851558712801418,0.0840662703418397,566,-0.132
BD_CasesvsCN_typeII,RLatVent,0.096,0.065,-0.031,0.222,2225,361,0.139,,2586,0.0126176739238002,0.0004963397090357788,0.0840729619900215,0.0840662703418397,566,0.096
