SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,NAVR,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
BD_CasesvsCN_typeI,Laccumb,-0.094,0.07,-0.23,0.043,2502,1289,0.181,,3791,0.2720665413607328,0.008837475832226795,0.0871220338602319,0.0840662703418397,566,-0.094
BD_CasesvsCN_typeI,Lamyg,-0.117,0.04,-0.197,-0.038,2525,1303,0.00363,,3828,0.2272955394058503,0.007347421318756329,0.0862104935785992,0.0840662703418397,566,-0.117
BD_CasesvsCN_typeI,Lcaud,-0.098,0.052,-0.2,0.005,2521,1305,0.062,,3826,0.1032435479466564,0.003338262112013291,0.0845131235838454,0.0840662703418397,566,-0.098
BD_CasesvsCN_typeI,Lhippo,-0.203,0.063,-0.326,-0.079,2518,1307,0.00131,,3825,0.156646722485764,0.005065654766397036,0.0850914368167819,0.0840662703418397,566,-0.203
BD_CasesvsCN_typeI,Lpal,-0.067,0.059,-0.183,0.048,2524,1306,0.253,,3830,0.2091429805492201,0.006760632425838219,0.0858851557252098,0.0840662703418397,566,-0.067
BD_CasesvsCN_typeI,Lput,-0.033,0.047,-0.125,0.06,2524,1304,0.489,,3828,0.1359332660967781,0.00439467250362862,0.084839397343257,0.0840662703418397,566,-0.033
BD_CasesvsCN_typeI,Lthal,-0.144,0.054,-0.251,-0.038,2524,1303,0.008,,3827,0.1594777173659569,0.005307086127346552,0.0851285929109501,0.0840662703418397,566,-0.144
BD_CasesvsCN_typeI,LLatVent,0.251,0.089,0.077,0.426,2436,1176,0.0047,,3612,0.011147108504968,0.00036024074923794995,0.0840714931340892,0.0840662703418397,566,0.251
BD_CasesvsCN_typeI,Raccumb,-0.094,0.07,-0.23,0.043,2502,1289,0.181,,3791,0.2297485905574407,0.007462871422500456,0.0862564347930189,0.0840662703418397,566,-0.094
BD_CasesvsCN_typeI,Ramyg,-0.117,0.04,-0.197,-0.038,2525,1303,0.00363,,3828,0.2007475491744533,0.006489246671307527,0.0857434573836147,0.0840662703418397,566,-0.117
BD_CasesvsCN_typeI,Rcaud,-0.098,0.052,-0.2,0.005,2521,1305,0.062,,3826,0.1461734363689446,0.004726350983844084,0.0849596317984902,0.0840662703418397,566,-0.098
BD_CasesvsCN_typeI,Rhippo,-0.203,0.063,-0.326,-0.079,2518,1307,0.00131,,3825,0.1266388607779865,0.004095258033690415,0.0847376913337475,0.0840662703418397,566,-0.203
BD_CasesvsCN_typeI,Rpal,-0.067,0.059,-0.183,0.048,2524,1306,0.253,,3830,0.2326402534573403,0.007520191387483703,0.0863111917423851,0.0840662703418397,566,-0.067
BD_CasesvsCN_typeI,Rput,-0.033,0.047,-0.125,0.06,2524,1304,0.489,,3828,0.1718404256047445,0.005555537765710387,0.0852984422689682,0.0840662703418397,566,-0.033
BD_CasesvsCN_typeI,Rthal,-0.144,0.054,-0.251,-0.038,2524,1303,0.008,,3827,0.1615252968034185,0.005375225304447116,0.0851558712801418,0.0840662703418397,566,-0.144
BD_CasesvsCN_typeI,RLatVent,0.251,0.089,0.077,0.426,2436,1176,0.0047,,3612,0.0126176739238002,0.00040776496487175587,0.0840729619900215,0.0840662703418397,566,0.251
