CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
BD_CasesvsCN_adult,L_bankssts,-0.207,0.031,,,2579,1830,1.61e-11,2.03e-09,4409,lh,0.1679100593637136,1.013998909287148,0.005057508966638675,0.0839191468362422,0.0827605888602368,584,-0.207
BD_CasesvsCN_adult,L_caudalanteriorcingulate,-0.095,0.031,,,2580,1836,0.00188,0.042,4416,lh,0.2181119375336781,1.0235100474810666,0.00656439791704546,0.0847062942339019,0.0827605888602368,584,-0.095
BD_CasesvsCN_adult,L_caudalmiddlefrontal,-0.266,0.031,,,2581,1835,5.85e-18,2.76e-15,4416,lh,0.1753441914871878,1.0152564136651865,0.005303728727569027,0.0840232186390629,0.0827605888602368,584,-0.266
BD_CasesvsCN_adult,L_cuneus,-0.056,0.031,,,2579,1835,0.068,0.421,4414,lh,0.2145175843375185,1.0227501131703698,0.00645768310136163,0.0846434016228536,0.0827605888602368,584,-0.056
BD_CasesvsCN_adult,L_entorhinal,-0.036,0.031,,,2569,1803,0.244,0.691,4372,lh,0.347724072261647,1.058731330617085,0.010465264769419006,0.087621228366652,0.0827605888602368,584,-0.036
BD_CasesvsCN_adult,L_fusiform,-0.288,0.031,,,2580,1835,8.25e-21,7.8e-18,4415,lh,0.2199788565103603,1.0239095161739662,0.0066341200064333776,0.0847393544981575,0.0827605888602368,584,-0.288
BD_CasesvsCN_adult,L_inferiorparietal,-0.265,0.031,,,2580,1834,6.84e-18,2.87e-15,4414,lh,0.1388691826870925,1.0095962806489438,0.0041865876776684,0.0835547826976114,0.0827605888602368,584,-0.265
BD_CasesvsCN_adult,L_inferiortemporal,-0.25,0.031,,,2576,1824,5.01e-16,1.26e-13,4400,lh,0.1931727905328623,1.01848697929932,0.0058125017075112955,0.0842905821532955,0.0827605888602368,584,-0.25
BD_CasesvsCN_adult,L_isthmuscingulate,-0.132,0.031,,,2580,1836,1.6e-05,0.000736,4416,lh,0.2212486498239776,1.024183072037872,0.006663330120769343,0.0847619941425406,0.0827605888602368,584,-0.132
BD_CasesvsCN_adult,L_lateraloccipital,-0.156,0.031,,,2577,1832,3.63e-07,2.36e-05,4409,lh,0.1493056868036902,1.0110846592209386,0.004495100246801867,0.0836779617846767,0.0827605888602368,584,-0.156
BD_CasesvsCN_adult,L_lateralorbitofrontal,-0.216,0.031,,,2581,1835,1.97e-12,3.11e-10,4416,lh,0.2368625051545744,1.0276691327212766,0.007131954470384289,0.0850505025775016,0.0827605888602368,584,-0.216
BD_CasesvsCN_adult,L_lingual,-0.208,0.031,,,2580,1835,1.26e-11,1.71e-09,4415,lh,0.2498141822812938,1.0307313547519894,0.00751852336171435,0.0853039338759842,0.0827605888602368,584,-0.208
BD_CasesvsCN_adult,L_medialorbitofrontal,-0.199,0.031,,,2572,1826,1.01e-10,1.12e-08,4398,lh,0.2972194770645651,1.043235073004418,0.008958450919478516,0.0863387489614977,0.0827605888602368,584,-0.199
BD_CasesvsCN_adult,L_middletemporal,-0.252,0.031,,,2579,1831,2.77e-16,7.47e-14,4410,lh,0.1664019105650013,1.0137502630528303,0.00500924345763276,0.0838985687274721,0.0827605888602368,584,-0.252
BD_CasesvsCN_adult,L_parahippocampal,-0.022,0.031,,,2581,1820,0.479,0.839,4401,lh,0.1419923979078971,1.0100306139239714,0.004278315841540562,0.0835907283752143,0.0827605888602368,584,-0.022
BD_CasesvsCN_adult,L_paracentral,-0.137,0.031,,,2581,1836,7.71e-06,0.00041,4417,lh,0.2087907284844583,1.0215642751687584,0.006283862491250181,0.0845452609715474,0.0827605888602368,584,-0.137
BD_CasesvsCN_adult,L_parsopercularis,-0.293,0.031,,,2581,1837,1.7100000000000003e-21,2.16e-18,4418,lh,0.1700048874171607,1.014347899759112,0.005121186708984277,0.0839480294932085,0.0827605888602368,584,-0.293
BD_CasesvsCN_adult,L_parsorbitalis,-0.246,0.031,,,2580,1837,1.34e-15,2.98e-13,4417,lh,0.2585720930571187,1.0328889230250944,0.007828332717306407,0.0854824954967726,0.0827605888602368,584,-0.246
BD_CasesvsCN_adult,L_parstriangularis,-0.27,0.031,,,2581,1837,1.65e-18,1.04e-15,4418,lh,0.1947534591914286,1.0187879611906627,0.005866706786449595,0.0843154915918593,0.0827605888602368,584,-0.27
BD_CasesvsCN_adult,L_pericalcarine,0.02,0.031,,,2578,1836,0.51,0.843,4414,lh,0.2573619043092968,1.0325866306464109,0.007753588205241659,0.0854574776015048,0.0827605888602368,584,0.02
BD_CasesvsCN_adult,L_postcentral,-0.096,0.031,,,2580,1830,0.00179,0.04,4410,lh,0.1993295859291462,1.0196726356172774,0.0060059195966360775,0.0843887077683555,0.0827605888602368,584,-0.096
BD_CasesvsCN_adult,L_posteriorcingulate,-0.112,0.031,,,2580,1837,0.000274,0.00924,4417,lh,0.2107243510940018,1.0219612282978197,0.006360810548770246,0.0845781130462584,0.0827605888602368,584,-0.112
BD_CasesvsCN_adult,L_precentral,-0.211,0.031,,,2580,1833,7.37e-12,1.12e-09,4413,lh,0.1934859788469978,1.0185464270274482,0.0058358115843640205,0.0842955020822818,0.0827605888602368,584,-0.211
BD_CasesvsCN_adult,L_precuneus,-0.209,0.031,,,2581,1837,1.04e-11,1.51e-09,4418,lh,0.1266028694300775,1.0079822848383444,0.0038137546637329093,0.0834212074539083,0.0827605888602368,584,-0.209
BD_CasesvsCN_adult,L_rostralanteriorcingulate,-0.153,0.031,,,2578,1834,5.97e-07,3.82e-05,4412,lh,0.283732439618703,1.0394729901695288,0.0085461190528765,0.0860273967707413,0.0827605888602368,584,-0.153
BD_CasesvsCN_adult,L_rostralmiddlefrontal,-0.276,0.031,,,2579,1837,2.99e-19,2.26e-16,4416,lh,0.1904458556017539,1.017973292339187,0.005743464080287251,0.0842480691179851,0.0827605888602368,584,-0.276
BD_CasesvsCN_adult,L_superiorfrontal,-0.233,0.031,,,2581,1835,3.97e-14,7.91e-12,4416,lh,0.132671725682411,1.0087625026712428,0.004000657685820795,0.0834857787411982,0.0827605888602368,584,-0.233
BD_CasesvsCN_adult,L_superiorparietal,-0.161,0.031,,,2580,1837,1.46e-07,1.01e-05,4417,lh,0.1101292843519363,1.0060459528629244,0.0033193914423374007,0.0832609554793936,0.0827605888602368,584,-0.161
BD_CasesvsCN_adult,L_superiortemporal,-0.209,0.031,,,2574,1829,1.08e-11,1.51e-09,4403,lh,0.1260174974969587,1.0079089292567045,0.0037965517269107087,0.0834151365027756,0.0827605888602368,584,-0.209
BD_CasesvsCN_adult,L_supramarginal,-0.253,0.031,,,2580,1837,2.3e-16,6.7e-14,4417,lh,0.1406715982860254,1.009845779594263,0.004247687909613214,0.0835754313772461,0.0827605888602368,584,-0.253
BD_CasesvsCN_adult,L_frontalpole,-0.118,0.031,,,2578,1836,0.000118,0.00471,4414,lh,0.3407844666065796,1.0564724571328543,0.010256407182702976,0.0874342826669363,0.0827605888602368,584,-0.118
BD_CasesvsCN_adult,L_temporalpole,-0.116,0.031,,,2572,1812,0.00017,0.00622,4384,lh,0.3656352824157033,1.0647484020871838,0.011021813889510351,0.0881192047447315,0.0827605888602368,584,-0.116
BD_CasesvsCN_adult,L_transversetemporal,-0.12,0.031,,,2579,1837,9.06e-05,0.00364,4416,lh,0.1956680130206627,1.018963184476973,0.0058942565880234265,0.0843299931742164,0.0827605888602368,584,-0.12
BD_CasesvsCN_adult,L_insula,-0.198,0.031,,,2578,1836,1.14e-10,1.23e-08,4414,lh,0.2981904866965747,1.0435121304308543,0.008972447456530424,0.0863616783972577,0.0827605888602368,584,-0.198
BD_CasesvsCN_adult,R_bankssts,-0.125,0.031,,,2574,1832,5e-05,0.00205,4406,rh,0.1534593994993605,1.0117063740506451,0.004618585180690094,0.0837294152700864,0.0827605888602368,584,-0.125
BD_CasesvsCN_adult,R_caudalanteriorcingulate,-0.063,0.031,,,2571,1834,0.039,0.329,4405,rh,0.2345456463717201,1.0271376053051158,0.007060593478852142,0.0850065130555448,0.0827605888602368,584,-0.063
BD_CasesvsCN_adult,R_caudalmiddlefrontal,-0.208,0.031,,,2573,1835,1.32e-11,1.72e-09,4408,rh,0.1700381669057965,1.014353477937885,0.005118126975906578,0.0839484911465685,0.0827605888602368,584,-0.208
BD_CasesvsCN_adult,R_cuneus,-0.029,0.031,,,2572,1833,0.352,0.774,4405,rh,0.2110250670946185,1.0220232771039457,0.00636264517193112,0.0845832482419915,0.0827605888602368,584,-0.029
BD_CasesvsCN_adult,R_entorhinal,-0.084,0.031,,,2567,1797,0.00659,0.105,4364,rh,0.3352087278490374,1.054687105840481,0.010096602628909672,0.0872865259426571,0.0827605888602368,584,-0.084
BD_CasesvsCN_adult,R_fusiform,-0.267,0.031,,,2570,1833,4.77e-18,2.58e-15,4403,rh,0.2034578796835348,1.0204876818488893,0.006127526740080648,0.084456161474432,0.0827605888602368,584,-0.267
BD_CasesvsCN_adult,R_inferiorparietal,-0.258,0.031,,,2574,1834,5.19e-17,1.78e-14,4408,rh,0.1402146441904612,1.0097822272378625,0.004219487166134448,0.0835701717468069,0.0827605888602368,584,-0.258
BD_CasesvsCN_adult,R_inferiortemporal,-0.189,0.031,,,2572,1827,8.29e-10,8.25e-08,4399,rh,0.1804525516817452,1.0161511321690553,0.005430368777194646,0.0840972660693073,0.0827605888602368,584,-0.189
BD_CasesvsCN_adult,R_isthmuscingulate,-0.183,0.031,,,2573,1834,2.49e-09,2.3e-07,4407,rh,0.2184653938129115,1.0235854279413277,0.0065742913713487785,0.0847125327651817,0.0827605888602368,584,-0.183
BD_CasesvsCN_adult,R_lateraloccipital,-0.219,0.031,,,2571,1832,1.24e-12,2.03e-10,4403,rh,0.1526839267879651,1.0115890378505457,0.004594205957870659,0.0837197044570715,0.0827605888602368,584,-0.219
