SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,NAVR,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
ADHDadult_casevsCN,Laccumb,-0.1,,-0.23,0.03,415.0,510.0,0.12,,925.0,0.2720665413607328,0.01789098555175023,0.0871220338602319,0.0840662703418397,566,-0.1
ADHDadult_casevsCN,Lamyg,-0.14,,-0.27,-0.01,412.0,500.0,0.03,,912.0,0.2272955394058503,0.015053014827980072,0.0862104935785992,0.0840662703418397,566,-0.14
ADHDadult_casevsCN,Lcaud,-0.07,,-0.2,0.05,420.0,502.0,0.3,,922.0,0.1032435479466564,0.006800290344896757,0.0845131235838454,0.0840662703418397,566,-0.07
ADHDadult_casevsCN,Lhippo,0.06,,-0.07,0.19,404.0,506.0,0.38,,910.0,0.156646722485764,0.010385576571746656,0.0850914368167819,0.0840662703418397,566,0.06
ADHDadult_casevsCN,Lpal,0.04,,-0.08,0.17,412.0,506.0,0.51,,918.0,0.2091429805492201,0.01382810732486656,0.0858851557252098,0.0840662703418397,566,0.04
ADHDadult_casevsCN,Lput,-0.08,,-0.21,0.05,416.0,499.0,0.23,,915.0,0.1359332660967781,0.008968049399964671,0.084839397343257,0.0840662703418397,566,-0.08
ADHDadult_casevsCN,Lthal,-0.07,,-0.2,0.06,416.0,503.0,0.28,,919.0,0.1594777173659569,,0.0851285929109501,0.0840662703418397,566,-0.07
ADHDadult_casevsCN,LLatVent,,,,,,,,,,0.011147108504968,0.0007358188064992304,0.0840714931340892,0.0840662703418397,566,
ADHDadult_casevsCN,Raccumb,-0.1,,-0.23,0.03,415.0,510.0,0.12,,925.0,0.2297485905574407,0.015108174248990568,0.0862564347930189,0.0840662703418397,566,-0.1
ADHDadult_casevsCN,Ramyg,-0.14,,-0.27,-0.01,412.0,500.0,0.03,,912.0,0.2007475491744533,0.013294831224153472,0.0857434573836147,0.0840662703418397,566,-0.14
ADHDadult_casevsCN,Rcaud,-0.07,,-0.2,0.05,420.0,502.0,0.3,,922.0,0.1461734363689446,0.009627931505547473,0.0849596317984902,0.0840662703418397,566,-0.07
ADHDadult_casevsCN,Rhippo,0.06,,-0.07,0.19,404.0,506.0,0.38,,910.0,0.1266388607779865,0.008396074713201035,0.0847376913337475,0.0840662703418397,566,0.06
ADHDadult_casevsCN,Rpal,0.04,,-0.08,0.17,412.0,506.0,0.51,,918.0,0.2326402534573403,0.01538169908664552,0.0863111917423851,0.0840662703418397,566,0.04
ADHDadult_casevsCN,Rput,-0.08,,-0.21,0.05,416.0,499.0,0.23,,915.0,0.1718404256047445,0.011336985198583624,0.0852984422689682,0.0840662703418397,566,-0.08
ADHDadult_casevsCN,Rthal,-0.07,,-0.2,0.06,416.0,503.0,0.28,,919.0,0.1615252968034185,,0.0851558712801418,0.0840662703418397,566,-0.07
ADHDadult_casevsCN,RLatVent,,,,,,,,,,0.0126176739238002,0.0008328905889154415,0.0840729619900215,0.0840662703418397,566,
