SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,d_icv_thresholded
BD_CasesvsCN_adult,L_bankssts,-0.016,0.031,,,2580,1829,0.598,0.884,4409,L_bankssts,lh,0.1786116799446558,0.005379845473759085,0.0840662703418397,566,-0.016
BD_CasesvsCN_adult,L_caudalanteriorcingulate,-0.023,0.031,,,2579,1835,0.444,0.824,4414,L_caudalanteriorcingulate,lh,0.1683153490493292,0.0050645499868324,0.0840662703418397,566,-0.023
BD_CasesvsCN_adult,L_caudalmiddlefrontal,0.031,0.031,,,2581,1837,0.316,0.745,4418,L_caudalmiddlefrontal,lh,0.1391865515943926,0.004209086795849707,0.0840662703418397,566,0.031
BD_CasesvsCN_adult,L_cuneus,-0.035,0.031,,,2579,1834,0.252,0.693,4413,L_cuneus,lh,0.1320470351444211,0.003975949853205619,0.0840662703418397,566,-0.035
BD_CasesvsCN_adult,L_entorhinal,-0.008,0.031,,,2571,1803,0.791,0.958,4374,L_entorhinal,lh,0.3530218209694457,0.010625911451917618,0.0840662703418397,566,
BD_CasesvsCN_adult,L_fusiform,-0.079,0.031,,,2581,1835,0.011,0.142,4416,L_fusiform,lh,0.1480590464773536,0.004464148218028848,0.0840662703418397,566,-0.079
BD_CasesvsCN_adult,L_inferiorparietal,-0.071,0.031,,,2579,1833,0.022,0.23,4412,L_inferiorparietal,lh,0.0921604482852544,0.002778110750863062,0.0840662703418397,566,-0.071
BD_CasesvsCN_adult,L_inferiortemporal,-0.026,0.031,,,2577,1824,0.404,0.801,4401,L_inferiortemporal,lh,0.1600867279656501,0.004816408597868649,0.0840662703418397,566,-0.026
BD_CasesvsCN_adult,L_isthmuscingulate,-0.014,0.031,,,2580,1835,0.646,0.909,4415,L_isthmuscingulate,lh,0.1325562515823995,0.00399173481081696,0.0840662703418397,566,-0.014
BD_CasesvsCN_adult,L_lateraloccipital,-0.008,0.031,,,2579,1832,0.793,0.958,4411,L_lateraloccipital,lh,0.0874525302944431,0.002632608085709129,0.0840662703418397,566,-0.008
BD_CasesvsCN_adult,L_lateralorbitofrontal,-0.067,0.031,,,2580,1834,0.029,0.273,4414,L_lateralorbitofrontal,lh,0.1678207846915011,0.005051384056164517,0.0840662703418397,566,-0.067
BD_CasesvsCN_adult,L_lingual,-0.063,0.031,,,2580,1835,0.039,0.328,4415,L_lingual,lh,0.1180788657866528,0.0035541586883957306,0.0840662703418397,566,-0.063
BD_CasesvsCN_adult,L_medialorbitofrontal,-0.068,0.031,,,2574,1826,0.027,0.262,4400,L_medialorbitofrontal,lh,0.2772285734046759,0.008356856922376608,0.0840662703418397,566,-0.068
BD_CasesvsCN_adult,L_middletemporal,-0.017,0.031,,,2580,1829,0.573,0.874,4409,L_middletemporal,lh,0.1432600859199927,0.004313575969054118,0.0840662703418397,566,-0.017
BD_CasesvsCN_adult,L_parahippocampal,-0.053,0.031,,,2582,1820,0.084,0.473,4402,L_parahippocampal,lh,0.253750614238687,0.0076447902222133105,0.0840662703418397,566,-0.053
BD_CasesvsCN_adult,L_paracentral,0.014,0.031,,,2580,1836,0.648,0.911,4416,L_paracentral,lh,0.1580756850541815,0.004756442078405137,0.0840662703418397,566,0.014
BD_CasesvsCN_adult,L_parsopercularis,-0.02,0.031,,,2582,1837,0.52,0.847,4419,L_parsopercularis,lh,0.141107643524262,0.004250693021426612,0.0840662703418397,566,-0.02
BD_CasesvsCN_adult,L_parsorbitalis,-0.087,0.031,,,2579,1837,0.005,0.083,4416,L_parsorbitalis,lh,0.2067718729739145,0.006261503486258545,0.0840662703418397,566,-0.087
BD_CasesvsCN_adult,L_parstriangularis,-0.008,0.031,,,2581,1837,0.803,0.962,4418,L_parstriangularis,lh,0.1342439775300349,0.00404393358292711,0.0840662703418397,566,-0.008
BD_CasesvsCN_adult,L_pericalcarine,-0.014,0.031,,,2579,1834,0.64,0.906,4413,L_pericalcarine,lh,0.1515153742526108,0.00456524881228053,0.0840662703418397,566,-0.014
BD_CasesvsCN_adult,L_postcentral,-0.051,0.031,,,2581,1830,0.098,0.505,4411,L_postcentral,lh,0.1565426209458112,0.004716722760771792,0.0840662703418397,566,-0.051
BD_CasesvsCN_adult,L_posteriorcingulate,-0.057,0.031,,,2582,1836,0.063,0.407,4418,L_posteriorcingulate,lh,0.1439203019218107,0.004343805176543385,0.0840662703418397,566,-0.057
BD_CasesvsCN_adult,L_precentral,-0.022,0.031,,,2581,1833,0.473,0.837,4414,L_precentral,lh,0.1234912044252991,0.0037242464248278626,0.0840662703418397,566,-0.022
BD_CasesvsCN_adult,L_precuneus,-0.044,0.031,,,2581,1837,0.149,0.587,4418,L_precuneus,lh,0.115806001618221,0.0034885123911324667,0.0840662703418397,566,-0.044
BD_CasesvsCN_adult,L_rostralanteriorcingulate,0.011,0.031,,,2581,1834,0.718,0.931,4415,L_rostralanteriorcingulate,lh,0.1985332985113387,0.0059798915038346825,0.0840662703418397,566,0.011
BD_CasesvsCN_adult,L_rostralmiddlefrontal,0.01,0.031,,,2580,1837,0.751,0.942,4417,L_rostralmiddlefrontal,lh,0.1574330702065638,0.004747325167322783,0.0840662703418397,566,0.01
BD_CasesvsCN_adult,L_superiorfrontal,-0.046,0.031,,,2580,1835,0.136,0.568,4415,L_superiorfrontal,lh,0.1296969686255579,0.003910066439306371,0.0840662703418397,566,-0.046
BD_CasesvsCN_adult,L_superiorparietal,0.003,0.031,,,2579,1836,0.933,0.989,4415,L_superiorparietal,lh,0.1358861602066383,0.0040952608280186795,0.0840662703418397,566,
BD_CasesvsCN_adult,L_superiortemporal,-0.022,0.031,,,2575,1827,0.478,0.839,4402,L_superiortemporal,lh,0.1176477597997551,0.003543993075621796,0.0840662703418397,566,-0.022
BD_CasesvsCN_adult,L_supramarginal,-0.062,0.031,,,2579,1837,0.042,0.334,4416,L_supramarginal,lh,0.1082569006559294,0.003267411749325302,0.0840662703418397,566,-0.062
BD_CasesvsCN_adult,L_frontalpole,0.046,0.031,,,2576,1836,0.134,0.566,4412,L_frontalpole,lh,0.3878276705376012,0.011674885310710115,0.0840662703418397,566,0.046
BD_CasesvsCN_adult,L_temporalpole,0.009,0.031,,,2573,1812,0.758,0.945,4385,L_temporalpole,lh,0.3829949443932145,0.011543797350163865,0.0840662703418397,566,
BD_CasesvsCN_adult,L_transversetemporal,-0.022,0.031,,,2581,1837,0.466,0.833,4418,L_transversetemporal,lh,0.1809503801815842,0.005450906124232047,0.0840662703418397,566,-0.022
BD_CasesvsCN_adult,L_insula,-0.024,0.031,,,2579,1835,0.439,0.823,4414,L_insula,lh,0.299847994886643,0.009022321298278064,0.0840662703418397,566,-0.024
BD_CasesvsCN_adult,R_bankssts,-0.04,0.031,,,2575,1832,0.189,0.642,4407,R_bankssts,rh,0.1825977843962243,0.005496792397150542,0.0840662703418397,566,-0.04
BD_CasesvsCN_adult,R_caudalanteriorcingulate,0.005,0.031,,,2574,1833,0.868,0.981,4407,R_caudalanteriorcingulate,rh,0.1383714680931598,0.004165907097656018,0.0840662703418397,566,0.005
BD_CasesvsCN_adult,R_caudalmiddlefrontal,-0.018,0.031,,,2574,1834,0.551,0.863,4408,R_caudalmiddlefrontal,rh,0.1657564399893244,0.004988682608143732,0.0840662703418397,566,-0.018
BD_CasesvsCN_adult,R_cuneus,-0.035,0.031,,,2571,1833,0.259,0.701,4404,R_cuneus,rh,0.1359122118474259,0.0040974417819337975,0.0840662703418397,566,-0.035
BD_CasesvsCN_adult,R_entorhinal,0.095,0.031,,,2566,1796,0.002,0.048,4362,R_entorhinal,rh,0.3394861382835046,0.010223121277186277,0.0840662703418397,566,0.095
BD_CasesvsCN_adult,R_fusiform,-0.018,0.031,,,2571,1832,0.557,0.866,4403,R_fusiform,rh,0.1441676106290709,0.004342378212588307,0.0840662703418397,566,-0.018
BD_CasesvsCN_adult,R_inferiorparietal,-0.088,0.031,,,2573,1835,0.004,0.076,4408,R_inferiorparietal,rh,0.0931743589228291,0.0028042186711611083,0.0840662703418397,566,-0.088
BD_CasesvsCN_adult,R_inferiortemporal,-0.024,0.031,,,2574,1828,0.429,0.821,4402,R_inferiortemporal,rh,0.1463527859563971,0.004404701247209962,0.0840662703418397,566,-0.024
BD_CasesvsCN_adult,R_isthmuscingulate,0.004,0.031,,,2573,1833,0.903,0.983,4406,R_isthmuscingulate,rh,0.1798584080766769,0.005411876595933428,0.0840662703418397,566,
BD_CasesvsCN_adult,R_lateraloccipital,-0.01,0.031,,,2573,1833,0.75,0.942,4406,R_lateraloccipital,rh,0.0883526703971253,0.0026585009520743506,0.0840662703418397,566,-0.01
BD_CasesvsCN_adult,R_lateralorbitofrontal,-0.073,0.031,,,2573,1833,0.017,0.196,4406,R_lateralorbitofrontal,rh,0.338660973367915,0.010191343700558566,0.0840662703418397,566,-0.073
BD_CasesvsCN_adult,R_lingual,-0.052,0.031,,,2575,1835,0.091,0.487,4410,R_lingual,rh,0.120006334526438,0.003612175249805597,0.0840662703418397,566,-0.052
BD_CasesvsCN_adult,R_medialorbitofrontal,-0.045,0.031,,,2568,1823,0.143,0.577,4391,R_medialorbitofrontal,rh,0.2373507957582443,0.007143419506985603,0.0840662703418397,566,-0.045
BD_CasesvsCN_adult,R_middletemporal,-0.033,0.031,,,2572,1834,0.277,0.713,4406,R_middletemporal,rh,0.1118631366940052,0.003378564308315675,0.0840662703418397,566,-0.033
BD_CasesvsCN_adult,R_parahippocampal,-0.043,0.031,,,2572,1826,0.161,0.601,4398,R_parahippocampal,rh,0.2797618263430707,0.008428434669972019,0.0840662703418397,566,-0.043
BD_CasesvsCN_adult,R_paracentral,-0.012,0.031,,,2574,1833,0.695,0.926,4407,R_paracentral,rh,0.1558819207241439,0.004692557248287266,0.0840662703418397,566,-0.012
BD_CasesvsCN_adult,R_parsopercularis,-0.02,0.031,,,2574,1834,0.517,0.847,4408,R_parsopercularis,rh,0.172803742272672,0.00520786219573918,0.0840662703418397,566,-0.02
BD_CasesvsCN_adult,R_parsorbitalis,-0.064,0.031,,,2572,1835,0.036,0.313,4407,R_parsorbitalis,rh,0.1869218196284564,0.005633984567429219,0.0840662703418397,566,-0.064
BD_CasesvsCN_adult,R_parstriangularis,-0.014,0.031,,,2575,1834,0.654,0.913,4409,R_parstriangularis,rh,0.1977247608861874,0.0059602713978728905,0.0840662703418397,566,-0.014
BD_CasesvsCN_adult,R_pericalcarine,-0.046,0.031,,,2575,1832,0.139,0.571,4407,R_pericalcarine,rh,0.1651985256525704,0.004977530344666633,0.0840662703418397,566,-0.046
BD_CasesvsCN_adult,R_postcentral,0.004,0.031,,,2571,1828,0.89,0.982,4399,R_postcentral,rh,0.2003338837533729,0.006033441573029145,0.0840662703418397,566,
BD_CasesvsCN_adult,R_posteriorcingulate,0.02,0.031,,,2574,1833,0.52,0.847,4407,R_posteriorcingulate,rh,0.162336046691134,0.004891282142176711,0.0840662703418397,566,0.02
BD_CasesvsCN_adult,R_precentral,-0.028,0.031,,,2571,1830,0.37,0.783,4401,R_precentral,rh,0.1560208692246287,0.004700468682955472,0.0840662703418397,566,-0.028
BD_CasesvsCN_adult,R_precuneus,-0.013,0.031,,,2575,1835,0.664,0.916,4410,R_precuneus,rh,0.114700935562511,0.0034556156378096193,0.0840662703418397,566,-0.013
BD_CasesvsCN_adult,R_rostralanteriorcingulate,-0.04,0.031,,,2572,1832,0.198,0.652,4404,R_rostralanteriorcingulate,rh,0.1753326949058068,0.00528227951554596,0.0840662703418397,566,-0.04
BD_CasesvsCN_adult,R_rostralmiddlefrontal,-0.015,0.031,,,2573,1832,0.635,0.903,4405,R_rostralmiddlefrontal,rh,0.1875342156885125,0.005649876918435477,0.0840662703418397,566,-0.015
BD_CasesvsCN_adult,R_superiorfrontal,-0.031,0.031,,,2575,1833,0.314,0.743,4408,R_superiorfrontal,rh,0.1548408529084814,0.004663331143180084,0.0840662703418397,566,-0.031
BD_CasesvsCN_adult,R_superiorparietal,-0.026,0.031,,,2575,1835,0.399,0.798,4410,R_superiorparietal,rh,0.1742287298901008,0.0052502116335155155,0.0840662703418397,566,-0.026
BD_CasesvsCN_adult,R_superiortemporal,-0.017,0.031,,,2566,1825,0.585,0.879,4391,R_superiortemporal,rh,0.117555156610781,0.0035404004341701707,0.0840662703418397,566,-0.017
BD_CasesvsCN_adult,R_supramarginal,0.021,0.031,,,2565,1827,0.5,0.843,4392,R_supramarginal,rh,0.1777082723446137,0.0053629836715488885,0.0840662703418397,566,0.021
BD_CasesvsCN_adult,R_frontalpole,0.014,0.031,,,2569,1834,0.66,0.913,4403,R_frontalpole,rh,0.4164824308930746,0.012536067656656952,0.0840662703418397,566,0.014
BD_CasesvsCN_adult,R_temporalpole,0.034,0.031,,,2564,1810,0.273,0.71,4374,R_temporalpole,rh,0.3636998202085135,0.010998505914232591,0.0840662703418397,566,0.034
BD_CasesvsCN_adult,R_transversetemporal,-0.021,0.031,,,2574,1834,0.492,0.843,4408,R_transversetemporal,rh,0.2243868641979294,0.006765518512990573,0.0840662703418397,566,-0.021
BD_CasesvsCN_adult,R_insula,-0.055,0.031,,,2568,1832,0.074,0.439,4400,R_insula,rh,0.374478321744222,0.011274303293669302,0.0840662703418397,566,-0.055
