SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,NAVR,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
MDD_casevsCN,Laccumb,-0.019,0.034,-0.085,0.047,6967,1652,0.569,,8619,0.2720665413607328,0.0058610670676587226,0.0871220338602319,0.0840662703418397,566,-0.019
MDD_casevsCN,Lamyg,-0.06,0.036,-0.132,0.011,7060,1696,0.097,,8756,0.2272955394058503,0.0048581176965083565,0.0862104935785992,0.0840662703418397,566,-0.06
MDD_casevsCN,Lcaud,-0.023,0.05,-0.121,0.074,7034,1681,0.641,,8715,0.1032435479466564,0.0022118680762517745,0.0845131235838454,0.0840662703418397,566,-0.023
MDD_casevsCN,Lhippo,-0.144,0.041,-0.225,-0.064,7040,1700,0.00046,,8740,0.156646722485764,0.003351163305346264,0.0850914368167819,0.0840662703418397,566,-0.144
MDD_casevsCN,Lpal,-0.001,0.034,-0.067,0.065,7018,1657,0.972,,8675,0.2091429805492201,0.004507088283892145,0.0858851557252098,0.0840662703418397,566,
MDD_casevsCN,Lput,0.012,0.034,-0.054,0.078,6957,1656,0.722,,8613,0.1359332660967781,0.0029100361146723406,0.084839397343257,0.0840662703418397,566,0.012
MDD_casevsCN,Lthal,-0.044,0.038,-0.119,0.031,7046,1682,0.25,,8728,0.1594777173659569,0.0034103617076023584,0.0851285929109501,0.0840662703418397,566,-0.044
MDD_casevsCN,LLatVent,0.056,0.037,-0.017,0.129,7058,1689,0.13,,8747,0.011147108504968,0.00023936325524987712,0.0840714931340892,0.0840662703418397,566,0.056
MDD_casevsCN,Raccumb,-0.019,0.034,-0.085,0.047,6967,1652,0.569,,8619,0.2297485905574407,0.004949421164478306,0.0862564347930189,0.0840662703418397,566,-0.019
MDD_casevsCN,Ramyg,-0.06,0.036,-0.132,0.011,7060,1696,0.097,,8756,0.2007475491744533,0.0042906923018568984,0.0857434573836147,0.0840662703418397,566,-0.06
MDD_casevsCN,Rcaud,-0.023,0.05,-0.121,0.074,7034,1681,0.641,,8715,0.1461734363689446,0.003131588984790981,0.0849596317984902,0.0840662703418397,566,-0.023
MDD_casevsCN,Rhippo,-0.144,0.041,-0.225,-0.064,7040,1700,0.00046,,8740,0.1266388607779865,0.0027092012940686376,0.0847376913337475,0.0840662703418397,566,-0.144
MDD_casevsCN,Rpal,-0.001,0.034,-0.067,0.065,7018,1657,0.972,,8675,0.2326402534573403,0.005013460924989135,0.0863111917423851,0.0840662703418397,566,
MDD_casevsCN,Rput,0.012,0.034,-0.054,0.078,6957,1656,0.722,,8613,0.1718404256047445,0.003678730444940913,0.0852984422689682,0.0840662703418397,566,0.012
MDD_casevsCN,Rthal,-0.044,0.038,-0.119,0.031,7046,1682,0.25,,8728,0.1615252968034185,0.003454148304389225,0.0851558712801418,0.0840662703418397,566,-0.044
MDD_casevsCN,RLatVent,0.056,0.037,-0.017,0.129,7058,1689,0.13,,8747,0.0126176739238002,0.0002709408904323728,0.0840729619900215,0.0840662703418397,566,0.056
