SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,NAVR,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
tlemtsl_subvol,Laccumb,-0.102,0.131,-0.359,0.155,1402,413,0.436,0.488,1815,0.2720665413607328,0.01277223253030751,0.0871220338602319,0.0840662703418397,566,-0.102
tlemtsl_subvol,Lamyg,-0.219,0.094,-0.404,-0.034,1413,412,0.0203,0.0388,1825,0.2272955394058503,0.010641172273849607,0.0862104935785992,0.0840662703418397,566,-0.219
tlemtsl_subvol,Lcaud,-0.182,0.118,-0.413,0.049,1418,414,0.122,0.169,1832,0.1032435479466564,0.004824254177399014,0.0845131235838454,0.0840662703418397,566,-0.182
tlemtsl_subvol,Lhippo,-1.728,0.191,-2.103,-1.354,1412,410,1.35e-19,1.13e-17,1822,0.156646722485764,0.0073396799365416125,0.0850914368167819,0.0840662703418397,566,-1.728
tlemtsl_subvol,Lpal,-0.269,0.15,-0.563,0.025,1332,398,0.0725,0.111,1730,0.2091429805492201,0.009964840154417466,0.0858851557252098,0.0840662703418397,566,-0.269
tlemtsl_subvol,Lput,-0.385,0.079,-0.54,-0.23,1352,410,1.07e-06,6.42e-06,1762,0.1359332660967781,0.006422243160586473,0.084839397343257,0.0840662703418397,566,-0.385
tlemtsl_subvol,Lthal,-0.843,0.126,-1.089,-0.596,1384,408,2.19e-11,6.13e-10,1792,0.1594777173659569,0.007453939001159093,0.0851285929109501,0.0840662703418397,566,-0.843
tlemtsl_subvol,LLatVent,0.465,0.089,0.29,0.64,1417,414,1.96e-07,1.83e-06,1831,0.011147108504968,0.0005360054093884788,0.0840714931340892,0.0840662703418397,566,0.465
tlemtsl_subvol,Raccumb,-0.123,0.161,-0.438,0.193,1396,413,0.447,0.494,1809,0.2297485905574407,0.01080347740662553,0.0862564347930189,0.0840662703418397,566,-0.123
tlemtsl_subvol,Ramyg,0.266,0.091,0.088,0.444,1387,398,0.00342,0.00871,1785,0.2007475491744533,0.009503008929306295,0.0857434573836147,0.0840662703418397,566,0.266
tlemtsl_subvol,Rcaud,-0.063,0.116,-0.291,0.165,1419,413,0.587,0.616,1832,0.1461734363689446,0.0068302361266391115,0.0849596317984902,0.0840662703418397,566,-0.063
tlemtsl_subvol,Rhippo,-0.204,0.144,-0.487,0.079,1417,414,0.159,0.209,1831,0.1266388607779865,0.005919061038786183,0.0847376913337475,0.0840662703418397,566,-0.204
tlemtsl_subvol,Rpal,-0.452,0.09,-0.629,-0.275,1406,414,5.48e-07,3.54e-06,1820,0.2326402534573403,0.010972864449866327,0.0863111917423851,0.0840662703418397,566,-0.452
tlemtsl_subvol,Rput,-0.285,0.112,-0.505,-0.064,1386,412,0.0113,0.0243,1798,0.1718404256047445,0.008042757025670694,0.0852984422689682,0.0840662703418397,566,-0.285
tlemtsl_subvol,Rthal,-0.462,0.117,-0.691,-0.232,1412,414,8.12e-05,0.000325,1826,0.1615252968034185,0.007547581455280116,0.0851558712801418,0.0840662703418397,566,-0.462
tlemtsl_subvol,RLatVent,0.363,0.093,0.181,0.545,1418,414,8.95e-05,0.000342,1832,0.0126176739238002,0.0005915256773101632,0.0840729619900215,0.0840662703418397,566,0.363
