CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
TLEMTS-L_vs_CTL,L_bankssts,-0.1,0.112,-0.319,0.119,1279,383,0.372,0.44,1662,lh,0.1679100593637136,1.013998909287148,0.00823741983419148,0.0839191468362422,0.0827605888602368,584,-0.1
TLEMTS-L_vs_CTL,L_caudalanteriorcingulate,0.181,0.06,0.064,0.299,1343,411,0.003,0.00714,1754,lh,0.2181119375336781,1.0235100474810666,0.010409914812889016,0.0847062942339019,0.0827605888602368,584,0.181
TLEMTS-L_vs_CTL,L_caudalmiddlefrontal,-0.403,0.07,-0.539,-0.266,1344,412,7.07e-09,8.48e-08,1756,lh,0.1753441914871878,1.0152564136651865,0.009355849292336462,0.0840232186390629,0.0827605888602368,584,-0.403
TLEMTS-L_vs_CTL,L_cuneus,-0.19,0.127,-0.438,0.059,1342,412,0.134,0.182,1754,lh,0.2145175843375185,1.0227501131703698,0.010276475705792182,0.0846434016228536,0.0827605888602368,584,-0.19
TLEMTS-L_vs_CTL,L_entorhinal,-0.445,0.072,-0.586,-0.303,1102,303,7.35e-10,1.23e-08,1405,lh,0.347724072261647,1.058731330617085,0.01660542357789144,0.087621228366652,0.0827605888602368,584,-0.445
TLEMTS-L_vs_CTL,L_fusiform,-0.359,0.069,-0.495,-0.223,1339,412,2.19e-07,1.84e-06,1751,lh,0.2199788565103603,1.0239095161739662,0.010499017994170997,0.0847393544981575,0.0827605888602368,584,-0.359
TLEMTS-L_vs_CTL,L_inferiorparietal,-0.242,0.129,-0.496,0.011,1333,410,0.061,0.0972,1743,lh,0.1388691826870925,1.0095962806489438,0.006648721772179482,0.0835547826976114,0.0827605888602368,584,-0.242
TLEMTS-L_vs_CTL,L_inferiortemporal,-0.207,0.075,-0.353,-0.06,1342,412,0.006,0.014,1754,lh,0.1931727905328623,1.01848697929932,0.009227519915607524,0.0842905821532955,0.0827605888602368,584,-0.207
TLEMTS-L_vs_CTL,L_isthmuscingulate,-0.021,0.079,-0.175,0.134,1343,411,0.791,0.81,1754,lh,0.2212486498239776,1.024183072037872,0.01057166941290004,0.0847619941425406,0.0827605888602368,584,-0.021
TLEMTS-L_vs_CTL,L_lateraloccipital,-0.311,0.15,-0.606,-0.016,1344,412,0.039,0.0665,1756,lh,0.1493056868036902,1.0110846592209386,0.007136138530628379,0.0836779617846767,0.0827605888602368,584,-0.311
TLEMTS-L_vs_CTL,L_lateralorbitofrontal,-0.06,0.073,-0.202,0.083,1343,412,0.411,0.469,1755,lh,0.2368625051545744,1.0276691327212766,0.01131449971574907,0.0850505025775016,0.0827605888602368,584,-0.06
TLEMTS-L_vs_CTL,L_lingual,-0.352,0.133,-0.612,-0.092,1343,412,0.008,0.0182,1755,lh,0.2498141822812938,1.0307313547519894,0.011926376778508841,0.0853039338759842,0.0827605888602368,584,-0.352
TLEMTS-L_vs_CTL,L_medialorbitofrontal,0.041,0.082,-0.119,0.202,1344,412,0.613,0.636,1756,lh,0.2972194770645651,1.043235073004418,0.014791799045440762,0.0863387489614977,0.0827605888602368,584,0.041
TLEMTS-L_vs_CTL,L_middletemporal,-0.287,0.095,-0.473,-0.101,1241,386,0.002,0.00714,1627,lh,0.1664019105650013,1.0137502630528303,0.007948722692767014,0.0838985687274721,0.0827605888602368,584,-0.287
TLEMTS-L_vs_CTL,L_parahippocampal,-0.3,0.073,-0.444,-0.157,1335,410,3.95e-05,0.000175,1745,lh,0.1419923979078971,1.0100306139239714,0.006845491789996801,0.0835907283752143,0.0827605888602368,584,-0.3
TLEMTS-L_vs_CTL,L_paracentral,-0.426,0.099,-0.62,-0.232,1344,412,1.61e-05,7.51e-05,1756,lh,0.2087907284844583,1.0215642751687584,0.009973560976004991,0.0845452609715474,0.0827605888602368,584,-0.426
TLEMTS-L_vs_CTL,L_parsopercularis,-0.2,0.095,-0.386,-0.014,1342,411,0.035,0.0651,1753,lh,0.1700048874171607,1.014347899759112,0.008104665007058573,0.0839480294932085,0.0827605888602368,584,-0.2
TLEMTS-L_vs_CTL,L_parsorbitalis,-0.15,0.092,-0.33,0.03,1344,412,0.102,0.15,1756,lh,0.2585720930571187,1.0328889230250944,0.0139973338442912,0.0854824954967726,0.0827605888602368,584,-0.15
TLEMTS-L_vs_CTL,L_parstriangularis,-0.282,0.093,-0.463,-0.101,1344,411,0.002,0.0069,1755,lh,0.1947534591914286,1.0187879611906627,0.009316321381817379,0.0843154915918593,0.0827605888602368,584,-0.282
TLEMTS-L_vs_CTL,L_pericalcarine,-0.198,0.122,-0.438,0.042,1344,411,0.105,0.152,1755,lh,0.2573619043092968,1.0325866306464109,0.01228321351979645,0.0854574776015048,0.0827605888602368,584,-0.198
TLEMTS-L_vs_CTL,L_postcentral,-0.327,0.137,-0.596,-0.059,1341,411,0.017,0.0342,1752,lh,0.1993295859291462,1.0196726356172774,0.009505365927397189,0.0843887077683555,0.0827605888602368,584,-0.327
TLEMTS-L_vs_CTL,L_posteriorcingulate,-0.012,0.06,-0.129,0.106,1344,411,0.845,0.855,1755,lh,0.2107243510940018,1.0219612282978197,0.010051602031481867,0.0845781130462584,0.0827605888602368,584,-0.012
TLEMTS-L_vs_CTL,L_precentral,-0.466,0.081,-0.625,-0.308,1339,412,8.64e-09,9.07e-08,1751,lh,0.1934859788469978,1.0185464270274482,0.0092345819310082,0.0842955020822818,0.0827605888602368,584,-0.466
TLEMTS-L_vs_CTL,L_precuneus,-0.536,0.135,-0.801,-0.271,1343,412,7.35e-05,0.000309,1755,lh,0.1266028694300775,1.0079822848383444,0.006037270361957895,0.0834212074539083,0.0827605888602368,584,-0.536
TLEMTS-L_vs_CTL,L_rostralanteriorcingulate,0.061,0.07,-0.077,0.199,1342,411,0.388,0.453,1753,lh,0.283732439618703,1.0394729901695288,0.01353410534502693,0.0860273967707413,0.0827605888602368,584,0.061
TLEMTS-L_vs_CTL,L_rostralmiddlefrontal,-0.203,0.101,-0.4,-0.005,1344,412,0.044,0.0741,1756,lh,0.1904458556017539,1.017973292339187,0.009089484765023022,0.0842480691179851,0.0827605888602368,584,-0.203
TLEMTS-L_vs_CTL,L_superiorfrontal,-0.411,0.06,-0.529,-0.293,1343,412,1.02e-11,4.28e-10,1755,lh,0.132671725682411,1.0087625026712428,0.006330273775154562,0.0834857787411982,0.0827605888602368,584,-0.411
TLEMTS-L_vs_CTL,L_superiorparietal,-0.472,0.142,-0.75,-0.193,1340,412,0.001,0.00296,1752,lh,0.1101292843519363,1.0060459528629244,0.00525169980265566,0.0832609554793936,0.0827605888602368,584,-0.472
TLEMTS-L_vs_CTL,L_superiortemporal,-0.399,0.111,-0.616,-0.182,1228,387,0.0,0.00114,1615,lh,0.1260174974969587,1.0079089292567045,0.006012775182597644,0.0834151365027756,0.0827605888602368,584,-0.399
