CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,Unnamed: 10,Unnamed: 11,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
TLEMTS-R_vs_CTL,L_bankssts,-0.218858574,0.149971758,-0.512797818,0.07508067,1228,322,0.144473773,0.203,,,1550,lh,0.1679100593637136,1.013998909287148,0.008529839545520461,0.0839191468362422,0.0827605888602368,584,-0.218858574
TLEMTS-R_vs_CTL,L_caudalanteriorcingulate,-0.022123014,0.077972734,-0.174946764,0.130700736,1287,337,0.776619167,0.837,,,1624,lh,0.2181119375336781,1.0235100474810666,0.010804772553165205,0.0847062942339019,0.0827605888602368,584,-0.022123014
TLEMTS-R_vs_CTL,L_caudalmiddlefrontal,-0.300518981,0.097941233,-0.49248027,-0.108557691,1292,338,0.00215237,0.00821,,,1630,lh,0.1753441914871878,1.0152564136651865,0.009718872559870794,0.0840232186390629,0.0827605888602368,584,-0.300518981
TLEMTS-R_vs_CTL,L_cuneus,-0.286509144,0.136514962,-0.554073553,-0.018944735,1290,338,0.035839999,0.0716,,,1628,lh,0.2145175843375185,1.0227501131703698,0.010669348069358268,0.0846434016228536,0.0827605888602368,584,-0.286509144
TLEMTS-R_vs_CTL,L_entorhinal,-0.113841429,0.075339079,-0.261503311,0.033820453,1050,252,0.130774652,0.2,,,1302,lh,0.347724072261647,1.058731330617085,0.01723075116142059,0.087621228366652,0.0827605888602368,584,-0.113841429
TLEMTS-R_vs_CTL,L_fusiform,-0.160962436,0.06391738,-0.286238199,-0.035686673,1287,337,0.011792651,0.031,,,1624,lh,0.2199788565103603,1.0239095161739662,0.010964731411925525,0.0847393544981575,0.0827605888602368,584,-0.160962436
TLEMTS-R_vs_CTL,L_inferiorparietal,-0.236242122,0.125827095,-0.482858697,0.010374453,1281,336,0.060447692,0.101,,,1617,lh,0.1388691826870925,1.0095962806489438,0.006900465165959461,0.0835547826976114,0.0827605888602368,584,-0.236242122
TLEMTS-R_vs_CTL,L_inferiortemporal,-0.05846299,0.063797756,-0.183504294,0.066578314,1290,338,0.359467603,0.437,,,1628,lh,0.1931727905328623,1.01848697929932,0.0095752197326938,0.0842905821532955,0.0827605888602368,584,-0.05846299
TLEMTS-R_vs_CTL,L_isthmuscingulate,0.081219129,0.079117344,-0.073848017,0.236286275,1291,338,0.304625149,0.388,,,1629,lh,0.2212486498239776,1.024183072037872,0.010970258171480934,0.0847619941425406,0.0827605888602368,584,0.081219129
TLEMTS-R_vs_CTL,L_lateraloccipital,-0.251418855,0.123917664,-0.494293013,-0.008544697,1292,338,0.04246658,0.0811,,,1630,lh,0.1493056868036902,1.0110846592209386,0.007407636494142078,0.0836779617846767,0.0827605888602368,584,-0.251418855
TLEMTS-R_vs_CTL,L_lateralorbitofrontal,-0.0174911,0.076957573,-0.168325172,0.133342972,1288,338,0.820204178,0.856,,,1626,lh,0.2368625051545744,1.0276691327212766,0.011762533923903305,0.0850505025775016,0.0827605888602368,584,-0.0174911
TLEMTS-R_vs_CTL,L_lingual,-0.383861994,0.137421187,-0.653202571,-0.114521418,1291,338,0.00521693,0.0162,,,1629,lh,0.2498141822812938,1.0307313547519894,0.012382829285057526,0.0853039338759842,0.0827605888602368,584,-0.383861994
TLEMTS-R_vs_CTL,L_medialorbitofrontal,0.082401707,0.063945622,-0.04292941,0.207732823,1274,336,0.19752969,0.273,,,1610,lh,0.2972194770645651,1.043235073004418,0.015389441172068651,0.0863387489614977,0.0827605888602368,584,0.082401707
TLEMTS-R_vs_CTL,L_middletemporal,-0.111922786,0.110975749,-0.329431257,0.105585686,1190,320,0.313198305,0.392,,,1510,lh,0.1664019105650013,1.0137502630528303,0.008248236478878705,0.0838985687274721,0.0827605888602368,584,-0.111922786
TLEMTS-R_vs_CTL,L_parahippocampal,-0.015255102,0.082004572,-0.17598111,0.145470905,1283,337,0.852423228,0.862,,,1620,lh,0.1419923979078971,1.0100306139239714,0.007108511094740345,0.0835907283752143,0.0827605888602368,584,-0.015255102
TLEMTS-R_vs_CTL,L_paracentral,-0.504805807,0.102114629,-0.704946803,-0.304664811,1292,338,7.67e-07,9.2e-06,,,1630,lh,0.2087907284844583,1.0215642751687584,0.010352552194593578,0.0845452609715474,0.0827605888602368,584,-0.504805807
TLEMTS-R_vs_CTL,L_parsopercularis,-0.153350643,0.104651803,-0.358464407,0.051763121,1290,338,0.142827734,0.203,,,1628,lh,0.1700048874171607,1.014347899759112,0.00841134364699901,0.0839480294932085,0.0827605888602368,584,-0.153350643
TLEMTS-R_vs_CTL,L_parsorbitalis,-0.189202534,0.09764797,-0.380589037,0.00218397,1292,338,0.052672258,0.0975,,,1630,lh,0.2585720930571187,1.0328889230250944,0.014586261919334945,0.0854824954967726,0.0827605888602368,584,-0.189202534
TLEMTS-R_vs_CTL,L_parstriangularis,-0.150894688,0.103090289,-0.352947942,0.051158567,1292,338,0.143272141,0.203,,,1630,lh,0.1947534591914286,1.0187879611906627,0.009668429082804053,0.0843154915918593,0.0827605888602368,584,-0.150894688
TLEMTS-R_vs_CTL,L_pericalcarine,-0.257852817,0.163021754,-0.577369583,0.06166395,1292,338,0.113716239,0.177,,,1630,lh,0.2573619043092968,1.0325866306464109,0.012745218243726349,0.0854574776015048,0.0827605888602368,584,-0.257852817
TLEMTS-R_vs_CTL,L_postcentral,-0.332823569,0.147801734,-0.622509645,-0.043137493,1289,338,0.024333364,0.0523,,,1627,lh,0.1993295859291462,1.0196726356172774,0.00987130974926813,0.0843887077683555,0.0827605888602368,584,-0.332823569
TLEMTS-R_vs_CTL,L_posteriorcingulate,-0.057144597,0.06369386,-0.181982268,0.067693074,1292,338,0.369625052,0.439,,,1630,lh,0.2107243510940018,1.0219612282978197,0.0104904219185746,0.0845781130462584,0.0827605888602368,584,-0.057144597
TLEMTS-R_vs_CTL,L_precentral,-0.415305941,0.090362038,-0.592412281,-0.238199602,1287,338,4.31e-06,4.02e-05,,,1625,lh,0.1934859788469978,1.0185464270274482,0.009584858203121256,0.0842955020822818,0.0827605888602368,584,-0.415305941
TLEMTS-R_vs_CTL,L_precuneus,-0.383084963,0.112308508,-0.603205593,-0.162964332,1291,338,0.000647237,0.00272,,,1629,lh,0.1266028694300775,1.0079822848383444,0.006265856612516787,0.0834212074539083,0.0827605888602368,584,-0.383084963
TLEMTS-R_vs_CTL,L_rostralanteriorcingulate,0.003072009,0.091402075,-0.176072765,0.182216784,1287,335,0.973188272,0.973,,,1622,lh,0.283732439618703,1.0394729901695288,0.01405115444521774,0.0860273967707413,0.0827605888602368,584,
TLEMTS-R_vs_CTL,L_rostralmiddlefrontal,-0.155530249,0.122556221,-0.395736027,0.08467553,1292,337,0.204422425,0.276,,,1629,lh,0.1904458556017539,1.017973292339187,0.009434257366826456,0.0842480691179851,0.0827605888602368,584,-0.155530249
TLEMTS-R_vs_CTL,L_superiorfrontal,-0.354549858,0.093891533,-0.538573882,-0.170525835,1291,337,0.000159262,0.00109,,,1628,lh,0.132671725682411,1.0087625026712428,0.00657225751347533,0.0834857787411982,0.0827605888602368,584,-0.354549858
TLEMTS-R_vs_CTL,L_superiorparietal,-0.401342167,0.124530083,-0.645416644,-0.157267689,1289,338,0.001269206,0.00508,,,1627,lh,0.1101292843519363,1.0060459528629244,0.0054505423747084735,0.0832609554793936,0.0827605888602368,584,-0.401342167
