SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,NAVR,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
OCDadult_casevsCN,Laccumb,-0.041,0.04,-0.12,0.037,1446,1465,0.305,,2911,0.2720665413607328,0.010085188702339098,0.0871220338602319,0.0840662703418397,566,-0.041
OCDadult_casevsCN,Lamyg,-0.108,0.05,-0.206,0.01,1418,1452,0.031,,2870,0.2272955394058503,0.008485549284949804,0.0862104935785992,0.0840662703418397,566,-0.108
OCDadult_casevsCN,Lcaud,0.032,0.038,-0.043,0.107,1424,1441,0.399,,2865,0.1032435479466564,0.003857719116073386,0.0845131235838454,0.0840662703418397,566,0.032
OCDadult_casevsCN,Lhippo,-0.135,0.048,-0.229,0.04,1440,1444,0.00508,,2884,0.156646722485764,0.005833828801225986,0.0850914368167819,0.0840662703418397,566,-0.135
OCDadult_casevsCN,Lpal,0.16,0.051,0.061,0.259,1312,1336,0.0016,,2648,0.2091429805492201,0.008049917074614192,0.0858851557252098,0.0840662703418397,566,0.16
OCDadult_casevsCN,Lput,0.017,0.044,-0.07,0.103,1335,1365,0.704,,2700,0.1359332660967781,0.005173017057463687,0.084839397343257,0.0840662703418397,566,0.017
OCDadult_casevsCN,Lthal,-0.079,0.042,-0.162,0.005,1387,1375,0.064,,2762,0.1594777173659569,0.005865490615798967,0.0851285929109501,0.0840662703418397,566,-0.079
OCDadult_casevsCN,LLatVent,0.108,0.063,-0.016,0.231,1466,1491,0.087,,2957,0.011147108504968,0.0004332446752967726,0.0840714931340892,0.0840662703418397,566,0.108
OCDadult_casevsCN,Raccumb,-0.041,0.04,-0.12,0.037,1446,1465,0.305,,2911,0.2297485905574407,0.008516511726431098,0.0862564347930189,0.0840662703418397,566,-0.041
OCDadult_casevsCN,Ramyg,-0.108,0.05,-0.206,0.01,1418,1452,0.031,,2870,0.2007475491744533,0.007494441935840572,0.0857434573836147,0.0840662703418397,566,-0.108
OCDadult_casevsCN,Rcaud,0.032,0.038,-0.043,0.107,1424,1441,0.399,,2865,0.1461734363689446,0.0054618043544373985,0.0849596317984902,0.0840662703418397,566,0.032
OCDadult_casevsCN,Rhippo,-0.135,0.048,-0.229,0.04,1440,1444,0.00508,,2884,0.1266388607779865,0.00471627763184261,0.0847376913337475,0.0840662703418397,566,-0.135
OCDadult_casevsCN,Rpal,0.16,0.051,0.061,0.259,1312,1336,0.0016,,2648,0.2326402534573403,0.008954327530529212,0.0863111917423851,0.0840662703418397,566,0.16
OCDadult_casevsCN,Rput,0.017,0.044,-0.07,0.103,1335,1365,0.704,,2700,0.1718404256047445,0.006539484250913857,0.0852984422689682,0.0840662703418397,566,0.017
OCDadult_casevsCN,Rthal,-0.079,0.042,-0.162,0.005,1387,1375,0.064,,2762,0.1615252968034185,0.005940799305777105,0.0851558712801418,0.0840662703418397,566,-0.079
OCDadult_casevsCN,RLatVent,0.108,0.063,-0.016,0.231,1466,1491,0.087,,2957,0.0126176739238002,0.000490399823387479,0.0840729619900215,0.0840662703418397,566,0.108
