CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
ALLEPI_vs_CTL,L_bankssts,-0.092,0.079,-0.247,0.063,1584,1927,0.245432009,0.286,3511,lh,0.1679100593637136,1.013998909287148,0.0056674969633108705,0.0839191468362422,0.0827605888602368,584,-0.092
ALLEPI_vs_CTL,L_caudalanteriorcingulate,0.039,0.043,-0.044,0.122,1645,2045,0.359482284,0.402,3690,lh,0.2181119375336781,1.0235100474810666,0.007160839738154479,0.0847062942339019,0.0827605888602368,584,0.039
ALLEPI_vs_CTL,L_caudalmiddlefrontal,-0.319,0.04,-0.398,-0.24,1650,2061,2.11e-15,5.91e-14,3711,lh,0.1753441914871878,1.0152564136651865,0.006272301018111182,0.0840232186390629,0.0827605888602368,584,-0.319
ALLEPI_vs_CTL,L_cuneus,-0.157,0.088,-0.329,0.014,1648,2061,0.072677966,0.102,3709,lh,0.2145175843375185,1.0227501131703698,0.007061888737726668,0.0846434016228536,0.0827605888602368,584,-0.157
ALLEPI_vs_CTL,L_entorhinal,-0.264,0.062,-0.385,-0.143,1402,1724,2.04e-05,8.57e-05,3126,lh,0.347724072261647,1.058731330617085,0.01142383824880383,0.087621228366652,0.0827605888602368,584,-0.264
ALLEPI_vs_CTL,L_fusiform,-0.187,0.061,-0.306,-0.068,1644,2058,0.002104147,0.00504,3702,lh,0.2199788565103603,1.0239095161739662,0.007270290524892117,0.0847393544981575,0.0827605888602368,584,-0.187
ALLEPI_vs_CTL,L_inferiorparietal,-0.197,0.071,-0.336,-0.059,1639,2052,0.00529128,0.0108,3691,lh,0.1388691826870925,1.0095962806489438,0.004574033134555187,0.0835547826976114,0.0827605888602368,584,-0.197
ALLEPI_vs_CTL,L_inferiortemporal,-0.085,0.057,-0.198,0.027,1648,2055,0.136761399,0.174,3703,lh,0.1931727905328623,1.01848697929932,0.006345482580518478,0.0842905821532955,0.0827605888602368,584,-0.085
ALLEPI_vs_CTL,L_isthmuscingulate,-0.049,0.036,-0.12,0.021,1649,2057,0.171712563,0.203,3706,lh,0.2212486498239776,1.024183072037872,0.0072716634204106735,0.0847619941425406,0.0827605888602368,584,-0.049
ALLEPI_vs_CTL,L_lateraloccipital,-0.19,0.091,-0.368,-0.013,1650,2060,0.03582136,0.0547,3710,lh,0.1493056868036902,1.0110846592209386,0.004907151759133695,0.0836779617846767,0.0827605888602368,584,-0.19
ALLEPI_vs_CTL,L_lateralorbitofrontal,-0.066,0.046,-0.155,0.023,1645,2060,0.14601444,0.179,3705,lh,0.2368625051545744,1.0276691327212766,0.007795368684012755,0.0850505025775016,0.0827605888602368,584,-0.066
ALLEPI_vs_CTL,L_lingual,-0.178,0.085,-0.344,-0.013,1649,2061,0.034958368,0.0547,3710,lh,0.2498141822812938,1.0307313547519894,0.008204974263414344,0.0853039338759842,0.0827605888602368,584,-0.178
ALLEPI_vs_CTL,L_medialorbitofrontal,0.005,0.035,-0.063,0.074,1632,2030,0.881803499,0.882,3662,lh,0.2972194770645651,1.043235073004418,0.010091193269868383,0.0863387489614977,0.0827605888602368,584,
ALLEPI_vs_CTL,L_middletemporal,-0.199,0.069,-0.334,-0.063,1546,1955,0.004010604,0.00864,3501,lh,0.1664019105650013,1.0137502630528303,0.005466830346896767,0.0838985687274721,0.0827605888602368,584,-0.199
ALLEPI_vs_CTL,L_parahippocampal,-0.104,0.044,-0.19,-0.018,1637,2050,0.01828504,0.032,3687,lh,0.1419923979078971,1.0100306139239714,0.004704418021102267,0.0835907283752143,0.0827605888602368,584,-0.104
ALLEPI_vs_CTL,L_paracentral,-0.311,0.065,-0.439,-0.183,1650,2061,2.05e-06,1.01e-05,3711,lh,0.2087907284844583,1.0215642751687584,0.006857587259499606,0.0845452609715474,0.0827605888602368,584,-0.311
ALLEPI_vs_CTL,L_parsopercularis,-0.153,0.057,-0.264,-0.041,1648,2059,0.007117269,0.0139,3707,lh,0.1700048874171607,1.014347899759112,0.005580683833866525,0.0839480294932085,0.0827605888602368,584,-0.153
ALLEPI_vs_CTL,L_parsorbitalis,-0.149,0.049,-0.245,-0.053,1650,2059,0.002366495,0.00553,3709,lh,0.2585720930571187,1.0328889230250944,0.009342589480909347,0.0854824954967726,0.0827605888602368,584,-0.149
ALLEPI_vs_CTL,L_parstriangularis,-0.192,0.05,-0.29,-0.094,1650,2060,0.000129192,0.000417,3710,lh,0.1947534591914286,1.0187879611906627,0.006413863599781527,0.0843154915918593,0.0827605888602368,584,-0.192
ALLEPI_vs_CTL,L_pericalcarine,-0.13,0.089,-0.303,0.044,1650,2059,0.14325453,0.179,3709,lh,0.2573619043092968,1.0325866306464109,0.008452873980002242,0.0854574776015048,0.0827605888602368,584,-0.13
ALLEPI_vs_CTL,L_postcentral,-0.125,0.09,-0.302,0.052,1647,2056,0.16713871,0.2,3703,lh,0.1993295859291462,1.0196726356172774,0.006546842567345102,0.0843887077683555,0.0827605888602368,584,-0.125
