CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
ALLOTHEREPI_vs_CTL,L_bankssts,-0.007,0.064,,,1381,937,0.918,0.918,2318,lh,0.1679100593637136,1.013998909287148,0.006975092879849662,0.0839191468362422,0.0827605888602368,584,-0.007
ALLOTHEREPI_vs_CTL,L_caudalanteriorcingulate,0.05,0.052,,,1442,987,0.336,0.409,2429,lh,0.2181119375336781,1.0235100474810666,0.008818453855039068,0.0847062942339019,0.0827605888602368,584,0.05
ALLOTHEREPI_vs_CTL,L_caudalmiddlefrontal,-0.291,0.045,,,1447,1000,1.32e-10,2.22e-09,2447,lh,0.1753441914871878,1.0152564136651865,0.007611081675672337,0.0840232186390629,0.0827605888602368,584,-0.291
ALLOTHEREPI_vs_CTL,L_cuneus,-0.142,0.049,,,1445,1000,0.004,0.00988,2445,lh,0.2145175843375185,1.0227501131703698,0.008701626016743087,0.0846434016228536,0.0827605888602368,584,-0.142
ALLOTHEREPI_vs_CTL,L_entorhinal,-0.149,0.084,,,1210,913,0.077,0.122,2123,lh,0.347724072261647,1.058731330617085,0.014067410215246844,0.087621228366652,0.0827605888602368,584,-0.149
ALLOTHEREPI_vs_CTL,L_fusiform,-0.095,0.045,,,1445,999,0.035,0.0613,2444,lh,0.2199788565103603,1.0239095161739662,0.008973124719996287,0.0847393544981575,0.0827605888602368,584,-0.095
ALLOTHEREPI_vs_CTL,L_inferiorparietal,-0.096,0.045,,,1436,995,0.034,0.0608,2431,lh,0.1388691826870925,1.0095962806489438,0.0056307315267188985,0.0835547826976114,0.0827605888602368,584,-0.096
ALLOTHEREPI_vs_CTL,L_inferiortemporal,-0.007,0.054,,,1446,996,0.903,0.918,2442,lh,0.1931727905328623,1.01848697929932,0.007814934609430698,0.0842905821532955,0.0827605888602368,584,
ALLOTHEREPI_vs_CTL,L_isthmuscingulate,-0.093,0.057,,,1446,998,0.103,0.157,2444,lh,0.2212486498239776,1.024183072037872,0.008956260874220006,0.0847619941425406,0.0827605888602368,584,-0.093
ALLOTHEREPI_vs_CTL,L_lateraloccipital,-0.153,0.048,,,1447,1000,0.00139,0.00403,2447,lh,0.1493056868036902,1.0110846592209386,0.006046449710292187,0.0836779617846767,0.0827605888602368,584,-0.153
ALLOTHEREPI_vs_CTL,L_lateralorbitofrontal,-0.065,0.064,,,1443,999,0.315,0.395,2442,lh,0.2368625051545744,1.0276691327212766,0.009598153074603221,0.0850505025775016,0.0827605888602368,584,-0.065
ALLOTHEREPI_vs_CTL,L_lingual,-0.099,0.045,,,1446,1000,0.028,0.0523,2446,lh,0.2498141822812938,1.0307313547519894,0.010104333085688446,0.0853039338759842,0.0827605888602368,584,-0.099
ALLOTHEREPI_vs_CTL,L_medialorbitofrontal,-0.014,0.046,,,1429,975,0.754,0.833,2404,lh,0.2972194770645651,1.043235073004418,0.012443697393229107,0.0863387489614977,0.0827605888602368,584,-0.014
ALLOTHEREPI_vs_CTL,L_middletemporal,-0.074,0.046,,,1345,958,0.112,0.168,2303,lh,0.1664019105650013,1.0137502630528303,0.006731900731788593,0.0838985687274721,0.0827605888602368,584,-0.074
ALLOTHEREPI_vs_CTL,L_parahippocampal,-0.06,0.045,,,1438,995,0.184,0.245,2433,lh,0.1419923979078971,1.0100306139239714,0.0057919907209759225,0.0835907283752143,0.0827605888602368,584,-0.06
ALLOTHEREPI_vs_CTL,L_paracentral,-0.257,0.045,,,1447,1000,1.34e-08,1.88e-07,2447,lh,0.2087907284844583,1.0215642751687584,0.00844676874864455,0.0845452609715474,0.0827605888602368,584,-0.257
ALLOTHEREPI_vs_CTL,L_parsopercularis,-0.122,0.047,,,1445,999,0.01,0.0221,2444,lh,0.1700048874171607,1.014347899759112,0.006870637098374546,0.0839480294932085,0.0827605888602368,584,-0.122
ALLOTHEREPI_vs_CTL,L_parsorbitalis,-0.128,0.045,,,1447,999,0.005,0.012,2446,lh,0.2585720930571187,1.0328889230250944,0.01132824907382329,0.0854824954967726,0.0827605888602368,584,-0.128
ALLOTHEREPI_vs_CTL,L_parstriangularis,-0.141,0.045,,,1447,1000,0.002,0.0056,2447,lh,0.1947534591914286,1.0187879611906627,0.007903171723342555,0.0843154915918593,0.0827605888602368,584,-0.141
ALLOTHEREPI_vs_CTL,L_pericalcarine,-0.16,0.054,,,1447,999,0.0031,0.00789,2446,lh,0.2573619043092968,1.0325866306464109,0.010409618785293983,0.0854574776015048,0.0827605888602368,584,-0.16
ALLOTHEREPI_vs_CTL,L_postcentral,-0.065,0.045,,,1444,997,0.152,0.209,2441,lh,0.1993295859291462,1.0196726356172774,0.008064011890412552,0.0843887077683555,0.0827605888602368,584,-0.065
ALLOTHEREPI_vs_CTL,L_posteriorcingulate,-0.089,0.061,,,1447,999,0.145,0.203,2446,lh,0.2107243510940018,1.0219612282978197,0.008592052248176319,0.0845781130462584,0.0827605888602368,584,-0.089
ALLOTHEREPI_vs_CTL,L_precentral,-0.375,0.046,,,1442,997,1.76e-16,1.48e-14,2439,lh,0.1934859788469978,1.0185464270274482,0.007829206736170198,0.0842955020822818,0.0827605888602368,584,-0.375
ALLOTHEREPI_vs_CTL,L_precuneus,-0.178,0.047,,,1446,998,0.000134,0.000489,2444,lh,0.1266028694300775,1.0079822848383444,0.00511761767810285,0.0834212074539083,0.0827605888602368,584,-0.178
ALLOTHEREPI_vs_CTL,L_rostralanteriorcingulate,-0.023,0.068,,,1442,994,0.731,0.822,2436,lh,0.283732439618703,1.0394729901695288,0.01147154738180642,0.0860273967707413,0.0827605888602368,584,-0.023
ALLOTHEREPI_vs_CTL,L_rostralmiddlefrontal,-0.097,0.062,,,1447,999,0.116,0.171,2446,lh,0.1904458556017539,1.017973292339187,0.007706191344914004,0.0842480691179851,0.0827605888602368,584,-0.097
ALLOTHEREPI_vs_CTL,L_superiorfrontal,-0.243,0.059,,,1446,999,3.51e-05,0.000155,2445,lh,0.132671725682411,1.0087625026712428,0.0053673235131527835,0.0834857787411982,0.0827605888602368,584,-0.243
ALLOTHEREPI_vs_CTL,L_superiorparietal,-0.224,0.045,,,1444,996,7.27e-07,6.79e-06,2440,lh,0.1101292843519363,1.0060459528629244,0.00445353209422133,0.0832609554793936,0.0827605888602368,584,-0.224
ALLOTHEREPI_vs_CTL,L_superiortemporal,-0.092,0.059,,,1330,952,0.123,0.178,2282,lh,0.1260174974969587,1.0079089292567045,0.005097079588141253,0.0834151365027756,0.0827605888602368,584,-0.092
ALLOTHEREPI_vs_CTL,L_supramarginal,-0.138,0.059,,,1403,961,0.019,0.038,2364,lh,0.1406715982860254,1.009845779594263,0.0058499021411948645,0.0835754313772461,0.0827605888602368,584,-0.138
