SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,d_icv_thresholded
SCZ_case_vs_controls,L_bankssts,-0.178,0.03,,,4995,4341,1.6899999999999995e-09,1.13e-08,9336,L_bankssts,lh,0.1786116799446558,0.0036970849475100598,0.0840662703418397,566,-0.178
SCZ_case_vs_controls,L_caudalanteriorcingulate,-0.128,0.036,,,5050,4420,0.000414,0.000508,9470,L_caudalanteriorcingulate,lh,0.1683153490493292,0.003461967217884056,0.0840662703418397,566,-0.128
SCZ_case_vs_controls,L_caudalmiddlefrontal,-0.159,0.034,,,5049,4406,2.7e-06,5.3e-06,9455,L_caudalmiddlefrontal,lh,0.1391865515943926,0.0028959515064296967,0.0840662703418397,566,-0.159
SCZ_case_vs_controls,L_cuneus,-0.17,0.034,,,5012,4353,6.15e-07,1.49e-06,9365,L_cuneus,lh,0.1320470351444211,0.002740001452816157,0.0840662703418397,566,-0.17
SCZ_case_vs_controls,L_entorhinal,-0.149,0.0279999999999999,,,4938,4302,1.12e-07,3.720000000000001e-07,9240,L_entorhinal,lh,0.3530218209694457,0.007255319748926943,0.0840662703418397,566,-0.149
SCZ_case_vs_controls,L_fusiform,-0.216,0.031,,,5007,4368,2.59e-12,1.82e-10,9375,L_fusiform,lh,0.1480590464773536,0.003045167681986362,0.0840662703418397,566,-0.216
SCZ_case_vs_controls,L_inferiorparietal,-0.185,0.036,,,4980,4310,2.64e-07,7.39e-07,9290,L_inferiorparietal,lh,0.0921604482852544,0.0018979977873932452,0.0840662703418397,566,-0.185
SCZ_case_vs_controls,L_inferiortemporal,-0.207,0.033,,,5004,4340,3.67e-10,6.42e-09,9344,L_inferiortemporal,lh,0.1600867279656501,0.0032983043550736954,0.0840662703418397,566,-0.207
SCZ_case_vs_controls,L_isthmuscingulate,-0.066,0.039,,,5051,4419,0.0858,0.087,9470,L_isthmuscingulate,lh,0.1325562515823995,0.0027280493419325836,0.0840662703418397,566,-0.066
SCZ_case_vs_controls,L_lateraloccipital,-0.17,0.036,,,5020,4368,1.93e-06,4.1e-06,9388,L_lateraloccipital,lh,0.0874525302944431,0.001798753320540263,0.0840662703418397,566,-0.17
SCZ_case_vs_controls,L_lateralorbitofrontal,-0.179,0.043,,,5050,4426,2.77e-05,4.210000000000001e-05,9476,L_lateralorbitofrontal,lh,0.1678207846915011,0.0034508825218312507,0.0840662703418397,566,-0.179
SCZ_case_vs_controls,L_lingual,-0.148,0.037,,,5046,4415,5.489999999999999e-05,7.840000000000001e-05,9461,L_lingual,lh,0.1180788657866528,0.0024279159449476086,0.0840662703418397,566,-0.148
SCZ_case_vs_controls,L_medialorbitofrontal,-0.106,0.048,,,5040,4416,0.0262,0.0269,9456,L_medialorbitofrontal,lh,0.2772285734046759,0.005760924104202428,0.0840662703418397,566,-0.106
SCZ_case_vs_controls,L_middletemporal,-0.2,0.038,,,4977,4299,1.67e-07,4.879999999999999e-07,9276,L_middletemporal,lh,0.1432600859199927,0.0029428894041877607,0.0840662703418397,566,-0.2
SCZ_case_vs_controls,L_parahippocampal,-0.11,0.0279999999999999,,,5035,4396,9.58e-05,0.000131,9431,L_parahippocampal,lh,0.253750614238687,0.005239215227711626,0.0840662703418397,566,-0.11
SCZ_case_vs_controls,L_paracentral,-0.087,0.031,,,5049,4416,0.0058,0.00616,9465,L_paracentral,lh,0.1580756850541815,0.00324912143760866,0.0840662703418397,566,-0.087
SCZ_case_vs_controls,L_parsopercularis,-0.151,0.033,,,5037,4386,5.03e-06,9.03e-06,9423,L_parsopercularis,lh,0.141107643524262,0.0029075824113168245,0.0840662703418397,566,-0.151
SCZ_case_vs_controls,L_parsorbitalis,-0.192,0.04,,,5029,4390,2.09e-06,4.31e-06,9419,L_parsorbitalis,lh,0.2067718729739145,0.004335592846938124,0.0840662703418397,566,-0.192
SCZ_case_vs_controls,L_parstriangularis,-0.1369999999999999,0.034,,,5021,4371,5.379999999999999e-05,7.840000000000001e-05,9392,L_parstriangularis,lh,0.1342439775300349,0.0027887421835035638,0.0840662703418397,566,-0.1369999999999999
SCZ_case_vs_controls,L_pericalcarine,-0.133,0.042,,,5053,4425,0.00146,0.00165,9478,L_pericalcarine,lh,0.1515153742526108,0.0031188946213137154,0.0840662703418397,566,-0.133
SCZ_case_vs_controls,L_postcentral,-0.191,0.034,,,5035,4409,3.03e-08,1.33e-07,9444,L_postcentral,lh,0.1565426209458112,0.003224942064584962,0.0840662703418397,566,-0.191
SCZ_case_vs_controls,L_posteriorcingulate,-0.1169999999999999,0.036,,,5052,4422,0.00131,0.00151,9474,L_posteriorcingulate,lh,0.1439203019218107,0.002969797102282732,0.0840662703418397,566,-0.1169999999999999
SCZ_case_vs_controls,L_precentral,-0.175,0.04,,,5049,4406,1.16e-05,1.98e-05,9455,L_precentral,lh,0.1234912044252991,0.0025475645517637293,0.0840662703418397,566,-0.175
SCZ_case_vs_controls,L_precuneus,-0.139,0.036,,,5040,4401,0.000104,0.00014,9441,L_precuneus,lh,0.115806001618221,0.0023933552802300325,0.0840662703418397,566,-0.139
SCZ_case_vs_controls,L_rostralanteriorcingulate,-0.159,0.039,,,5043,4417,3.61e-05,5.37e-05,9460,L_rostralanteriorcingulate,lh,0.1985332985113387,0.004103951608999897,0.0840662703418397,566,-0.159
SCZ_case_vs_controls,L_rostralmiddlefrontal,-0.196,0.037,,,5036,4372,9.95e-08,3.48e-07,9408,L_rostralmiddlefrontal,lh,0.1574330702065638,0.0032422543995198052,0.0840662703418397,566,-0.196
SCZ_case_vs_controls,L_superiorfrontal,-0.222,0.037,,,5048,4413,2.27e-09,1.22e-08,9461,L_superiorfrontal,lh,0.1296969686255579,0.0026723188263058266,0.0840662703418397,566,-0.222
SCZ_case_vs_controls,L_superiorparietal,-0.19,0.032,,,5007,4347,1.7800000000000003e-09,1.13e-08,9354,L_superiorparietal,lh,0.1358861602066383,0.0028025212364995783,0.0840662703418397,566,-0.19
SCZ_case_vs_controls,L_superiortemporal,-0.196,0.032,,,4974,4289,8.160000000000001e-10,9.150000000000001e-09,9263,L_superiortemporal,lh,0.1176477597997551,0.0024230245322185945,0.0840662703418397,566,-0.196
SCZ_case_vs_controls,L_supramarginal,-0.12,0.034,,,4961,4284,0.00035,0.000446,9245,L_supramarginal,lh,0.1082569006559294,0.002244299062224971,0.0840662703418397,566,-0.12
SCZ_case_vs_controls,L_frontalpole,-0.099,0.037,,,5054,4425,0.00705,0.00737,9479,L_frontalpole,lh,0.3878276705376012,0.00796812725395725,0.0840662703418397,566,-0.099
SCZ_case_vs_controls,L_temporalpole,-0.096,0.022,,,5017,4383,1.77e-05,2.82e-05,9400,L_temporalpole,lh,0.3829949443932145,0.00787299157747168,0.0840662703418397,566,-0.096
