CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
SCZ_case_vs_controls,L_bankssts,-0.352,0.04,,,5002,4343,5.96e-19,2.61e-18,9345,lh,0.1679100593637136,1.013998909287148,0.0034738979628660435,0.0839191468362422,0.0827605888602368,584,-0.352
SCZ_case_vs_controls,L_caudalanteriorcingulate,-0.119,0.036,,,5053,4423,0.000897,0.000923,9476,lh,0.2181119375336781,1.0235100474810666,0.004484303635492962,0.0847062942339019,0.0827605888602368,584,-0.119
SCZ_case_vs_controls,L_caudalmiddlefrontal,-0.363,0.055,,,5053,4410,3.9500000000000006e-11,6.44e-11,9463,lh,0.1753441914871878,1.0152564136651865,0.0036470728212716083,0.0840232186390629,0.0827605888602368,584,-0.363
SCZ_case_vs_controls,L_cuneus,-0.203,0.045,,,5012,4354,4.92e-06,5.47e-06,9366,lh,0.2145175843375185,1.0227501131703698,0.004450562710817127,0.0846434016228536,0.0827605888602368,584,-0.203
SCZ_case_vs_controls,L_entorhinal,-0.203,0.039,,,4942,4304,2.5e-07,3.02e-07,9246,lh,0.347724072261647,1.058731330617085,0.007143800411695235,0.087621228366652,0.0827605888602368,584,-0.203
SCZ_case_vs_controls,L_fusiform,-0.491,0.045,,,5012,4368,6.880000000000001e-28,1.6e-26,9380,lh,0.2199788565103603,1.0239095161739662,0.004523882131732467,0.0847393544981575,0.0827605888602368,584,-0.491
SCZ_case_vs_controls,L_inferiorparietal,-0.362,0.047,,,4985,4308,1.91e-14,4.62e-14,9293,lh,0.1388691826870925,1.0095962806489438,0.0028582741203233126,0.0835547826976114,0.0827605888602368,584,-0.362
SCZ_case_vs_controls,L_inferiortemporal,-0.449,0.048,,,5005,4344,4.920000000000001e-21,2.87e-20,9349,lh,0.1931727905328623,1.01848697929932,0.003978717749663737,0.0842905821532955,0.0827605888602368,584,-0.449
SCZ_case_vs_controls,L_isthmuscingulate,-0.309,0.05,,,5056,4421,5.98e-10,8.05e-10,9477,lh,0.2212486498239776,1.024183072037872,0.004551198690491943,0.0847619941425406,0.0827605888602368,584,-0.309
SCZ_case_vs_controls,L_lateraloccipital,-0.331,0.052,,,5026,4369,1.79e-10,2.56e-10,9395,lh,0.1493056868036902,1.0110846592209386,0.0030701583593951472,0.0836779617846767,0.0827605888602368,584,-0.331
SCZ_case_vs_controls,L_lateralorbitofrontal,-0.3979999999999999,0.045,,,5056,4424,5.31e-19,2.48e-18,9480,lh,0.2368625051545744,1.0276691327212766,0.004869808617479374,0.0850505025775016,0.0827605888602368,584,-0.3979999999999999
SCZ_case_vs_controls,L_lingual,-0.349,0.046,,,5048,4420,4.72e-14,1.0700000000000001e-13,9468,lh,0.2498141822812938,1.0307313547519894,0.005135005313390867,0.0853039338759842,0.0827605888602368,584,-0.349
SCZ_case_vs_controls,L_medialorbitofrontal,-0.231,0.048,,,5040,4418,1.24e-06,1.4e-06,9458,lh,0.2972194770645651,1.043235073004418,0.0061760099670706845,0.0863387489614977,0.0827605888602368,584,-0.231
SCZ_case_vs_controls,L_middletemporal,-0.444,0.054,,,4982,4305,1.38e-16,4.4000000000000005e-16,9287,lh,0.1664019105650013,1.0137502630528303,0.003417554340678296,0.0838985687274721,0.0827605888602368,584,-0.444
SCZ_case_vs_controls,L_parahippocampal,-0.2769999999999999,0.042,,,5039,4403,5.81e-11,9.03e-11,9442,lh,0.1419923979078971,1.0100306139239714,0.0029306387854150773,0.0835907283752143,0.0827605888602368,584,-0.2769999999999999
SCZ_case_vs_controls,L_paracentral,-0.253,0.04,,,5051,4421,3.2599999999999996e-10,4.56e-10,9472,lh,0.2087907284844583,1.0215642751687584,0.004288586083346232,0.0845452609715474,0.0827605888602368,584,-0.253
SCZ_case_vs_controls,L_parsopercularis,-0.375,0.045,,,5041,4388,1.21e-16,4.04e-16,9429,lh,0.1700048874171607,1.014347899759112,0.00350097900676641,0.0839480294932085,0.0827605888602368,584,-0.375
SCZ_case_vs_controls,L_parsorbitalis,-0.319,0.047,,,5032,4392,1.46e-11,2.62e-11,9424,lh,0.2585720930571187,1.0328889230250944,0.005419357779956308,0.0854824954967726,0.0827605888602368,584,-0.319
SCZ_case_vs_controls,L_parstriangularis,-0.341,0.046,,,5024,4372,8.64e-14,1.8900000000000003e-13,9396,lh,0.1947534591914286,1.0187879611906627,0.004044656369122865,0.0843154915918593,0.0827605888602368,584,-0.341
